------Generation 0------
Rule  1: cc449a2d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4771292427, Class:  1, CF:0.999946, Len: 10, Fitness_tra: 75
Rule 12: 7441c31b44, Class:  1, CF:0.995773, Len: 10, Fitness_tra: 77
Rule 13: 1781111944, Class:  1, CF:  1, Len: 10, Fitness_tra: 59
Rule 14: b271112246, Class:  1, CF:0.920275, Len: 10, Fitness_tra: 23
Rule 15: 7744191b72, Class:  1, CF:0.988583, Len: 10, Fitness_tra: 56
Rule 16: 1514857112, Class:  0, CF:0.908067, Len: 10, Fitness_tra: 28
Rule 17: 1c14d51217, Class:  0, CF:0.108982, Len: 10, Fitness_tra: 3
Rule 18: b571157214, Class:  1, CF:0.995253, Len: 10, Fitness_tra: 15
Rule 19: b12115427c, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 6
Rule 20: 77111ab122, Class:  0, CF:  1, Len: 10, Fitness_tra: 32
Rule 21: 22b11544b1, Class:  1, CF:0.988311, Len: 10, Fitness_tra: 2
Rule 22: 224111421c, Class:  1, CF:0.997997, Len: 10, Fitness_tra: 8
Rule 23: bc71c9241b, Class:  1, CF:0.993997, Len: 10, Fitness_tra: 3
Rule 24: 4121164172, Class:  0, CF:0.879957, Len: 10, Fitness_tra: 3
Rule 25: 1b219e711d, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 26: 414bc1b447, Class:  1, CF:0.998116, Len: 10, Fitness_tra: 0
Rule 27: 2bb42f77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 28: 112151b257, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 29: 1681111958, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: b1b21124b7, Class:  1, CF:0.950838, Len: 10, Fitness_tra: 0
Rule 31: 7177d571b7, Class:  1, CF:0.971486, Len: 10, Fitness_tra: 0
Rule 32: bc12262241, Class:  0, CF:0.996897, Len: 10, Fitness_tra: 0
Rule 33: 4b448124b4, Class:  1, CF:0.998057, Len: 10, Fitness_tra: 0
Rule 34: c1141e1e35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 19875dbee2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b47bc3bbb7, Class:  1, CF:0.944104, Len: 10, Fitness_tra: 0
Rule 37: cc449a2d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2171514224, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 39: b512262201, Class:  0, CF:  1, Len:  9, Fitness_tra: 2
Rule 40: c8413fb59c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2842994224, Class:  1, CF:0.971393, Len: 10, Fitness_tra: 0
Rule 42: 4274412b14, Class:  1, CF:0.912969, Len: 10, Fitness_tra: 0
Rule 43: 4b2b114b42, Class:  1, CF:0.98829, Len: 10, Fitness_tra: 0
Rule 44: 7247137b27, Class:  1, CF:0.490207, Len: 10, Fitness_tra: 0
Rule 45: 2191c21f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 714729b477, Class:  1, CF:0.996272, Len: 10, Fitness_tra: 0
Rule 47: 2bb4c54177, Class:  1, CF:0.998039, Len: 10, Fitness_tra: 0
Rule 48: 1244132b4b, Class:  1, CF:0.388505, Len: 10, Fitness_tra: 0
Rule 49: b12451b221, Class:  1, CF:0.99901, Len: 10, Fitness_tra: 0
Rule 50: 2c22532154, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 51: 442226b174, Class:  0, CF:0.668147, Len: 10, Fitness_tra: 0
Rule 52: 74bb11b242, Class:  1, CF:0.988349, Len: 10, Fitness_tra: 0
Rule 53: 472b1641b2, Class:  0, CF:0.791811, Len: 10, Fitness_tra: 0
Rule 54: b824c9227b, Class:  1, CF:0.977666, Len: 10, Fitness_tra: 0
Rule 55: 2d27557231, Class:  0, CF:0.85018, Len: 10, Fitness_tra: 0
Rule 56: b12b1e47bb, Class:  1, CF:0.951759, Len: 10, Fitness_tra: 0
Rule 57: 2111567714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4b7481b2b4, Class:  1, CF:0.998145, Len: 10, Fitness_tra: 0
Rule 59: 4c22857122, Class:  1, CF:0.992448, Len: 10, Fitness_tra: 0
Rule 60: 7184812312, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 7114d62414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1247134742, Class:  1, CF:0.719206, Len: 10, Fitness_tra: -1
Rule 63: 4b5b114b42, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 64: b14b9a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 417bc1477b, Class:  1, CF:0.990096, Len: 10, Fitness_tra: 0
Rule 66: 22b7594b4b, Class:  1, CF:0.593399, Len: 10, Fitness_tra: 0
Rule 67: 2b72562224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 152b51751d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4114132218, Class:  1, CF:0.991663, Len: 10, Fitness_tra: 0
Rule 70: 242bc6444b, Class:  1, CF:0.996377, Len: 10, Fitness_tra: 0
Rule 71: 224713b777, Class:  1, CF:0.306437, Len: 10, Fitness_tra: 0
Rule 72: b2b2262414, Class:  0, CF:0.830111, Len: 10, Fitness_tra: 0
Rule 73: 2142452147, Class:  1, CF:0.993931, Len: 10, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 45b721477b, Class:  1, CF:0.77666, Len: 10, Fitness_tra: 0
Rule 76: 217251b412, Class:  1, CF:0.997574, Len: 10, Fitness_tra: 0
Rule 77: 2287557151, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 78: 1142d1bc47, Class:  1, CF:0.999674, Len: 10, Fitness_tra: 0
Rule 79: bc77557bb7, Class:  0, CF:0.490123, Len: 10, Fitness_tra: 0
Rule 80: 1c72597b72, Class:  0, CF:0.775031, Len: 10, Fitness_tra: 0
Rule 81: 4124534111, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 1cb2551217, Class:  1, CF:0.0149447, Len: 10, Fitness_tra: 0
Rule 83: c98451b131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 11241c4741, Class:  1, CF:0.948481, Len: 10, Fitness_tra: -259
Rule 85: 131b257365, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 86: 42bb132121, Class:  1, CF:0.417264, Len: 10, Fitness_tra: -25
Rule 87: 1114814155, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: b421dd2bb2, Class:  1, CF:0.991372, Len: 10, Fitness_tra: 0
Rule 89: 2c21591882, Class:  1, CF:  1, Len: 10, Fitness_tra: 26
Rule 90: 152b55b122, Class:  1, CF:0.548753, Len: 10, Fitness_tra: 0
Rule 91: 4242d12c14, Class:  1, CF:0.998445, Len: 10, Fitness_tra: 0
Rule 92: 1117857151, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 93: 4bbb154172, Class:  1, CF:0.998454, Len: 10, Fitness_tra: 0
Rule 94: 19825ebe18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 73b441db21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 74b1c818b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 670
Rule 97: 15148571e2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: 1c14951213, Class:  0, CF:0.978489, Len: 10, Fitness_tra: 42
Rule 99: 1bb151212b, Class:  1, CF:0.999472, Len: 10, Fitness_tra: 0
Rule100: 247253be14, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:62.5306
------Result------
Miss_rate(tra)	:62.5306
Miss_rate(tst)	:41.8647
ARL				:9.87356

------Generation 9------
Rule  1: 4224191a7b, Class:  0, CF:0.267975, Len: 10, Fitness_tra: 1103
Rule  2: 2117851aa1, Class:  0, CF:0.297441, Len: 10, Fitness_tra: 696
Rule  3: 74b1c818b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 669
Rule  4: 4b2151111b, Class:  1, CF:0.999364, Len: 10, Fitness_tra: 322
Rule  5: 4221131511, Class:  1, CF:  1, Len: 10, Fitness_tra: 316
Rule  6: 1b11d87744, Class:  1, CF:0.999496, Len: 10, Fitness_tra: 210
Rule  7: 73b1717bb1, Class:  1, CF:0.965401, Len: 10, Fitness_tra: 273
Rule  8: 4241112214, Class:  1, CF:0.992366, Len: 10, Fitness_tra: 147
Rule  9: 42711db772, Class:  1, CF:0.990066, Len: 10, Fitness_tra: 62
Rule 10: 4172c91244, Class:  1, CF:0.998778, Len: 10, Fitness_tra: 111
Rule 11: 16b1c8242b, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 101
Rule 12: 7441c31b44, Class:  1, CF:0.995773, Len: 10, Fitness_tra: 76
Rule 13: 4771292427, Class:  1, CF:0.999946, Len: 10, Fitness_tra: 75
Rule 14: 1781111944, Class:  1, CF:  1, Len: 10, Fitness_tra: 59
Rule 15: 7744191b72, Class:  1, CF:0.988583, Len: 10, Fitness_tra: 56
Rule 16: 1c14951213, Class:  0, CF:0.978489, Len: 10, Fitness_tra: 42
Rule 17: 77111ab122, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 1514857112, Class:  0, CF:0.908067, Len: 10, Fitness_tra: 27
Rule 19: 2c21591882, Class:  1, CF:  1, Len: 10, Fitness_tra: 26
Rule 20: b271112246, Class:  1, CF:0.920275, Len: 10, Fitness_tra: 30
Rule 21: b571157214, Class:  1, CF:0.995253, Len: 10, Fitness_tra: 43
Rule 22: 224111421c, Class:  1, CF:0.997997, Len: 10, Fitness_tra: 8
Rule 23: b12115427c, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 5
Rule 24: 4121164172, Class:  0, CF:0.879957, Len: 10, Fitness_tra: 3
Rule 25: bc71c9241b, Class:  1, CF:0.993997, Len: 10, Fitness_tra: 3
Rule 26: 1c14d51217, Class:  0, CF:0.108982, Len: 10, Fitness_tra: 2
Rule 27: 1b219e711d, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 28: 22b11544b1, Class:  1, CF:0.988311, Len: 10, Fitness_tra: 2
Rule 29: b512262201, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 30: 112151b257, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 31: 2bb42f77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 32: 1117857151, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 33: 7177d571b7, Class:  1, CF:0.971486, Len: 10, Fitness_tra: 0
Rule 34: c1141e1e35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 19875dbee2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b47bc3bbb7, Class:  1, CF:0.944104, Len: 10, Fitness_tra: 0
Rule 37: cc449a2d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2171514224, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 39: 1681111958, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: c8413fb59c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2842994224, Class:  1, CF:0.971393, Len: 10, Fitness_tra: 0
Rule 42: 4274412b14, Class:  1, CF:0.912969, Len: 10, Fitness_tra: 0
Rule 43: 4b2b114b42, Class:  1, CF:0.98829, Len: 10, Fitness_tra: 0
Rule 44: 7247137b27, Class:  1, CF:0.490207, Len: 10, Fitness_tra: 0
Rule 45: 2191c21f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 714729b477, Class:  1, CF:0.996272, Len: 10, Fitness_tra: 0
Rule 47: 2bb4c54177, Class:  1, CF:0.998039, Len: 10, Fitness_tra: 0
Rule 48: 1244132b4b, Class:  1, CF:0.388505, Len: 10, Fitness_tra: 0
Rule 49: b12451b221, Class:  1, CF:0.99901, Len: 10, Fitness_tra: 0
Rule 50: 2c22532154, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 51: 442226b174, Class:  0, CF:0.668147, Len: 10, Fitness_tra: 0
Rule 52: 74bb11b242, Class:  1, CF:0.988349, Len: 10, Fitness_tra: 0
Rule 53: 472b1641b2, Class:  0, CF:0.791811, Len: 10, Fitness_tra: 0
Rule 54: b824c9227b, Class:  1, CF:0.977666, Len: 10, Fitness_tra: 0
Rule 55: 2d27557231, Class:  0, CF:0.85018, Len: 10, Fitness_tra: 0
Rule 56: b12b1e47bb, Class:  1, CF:0.951759, Len: 10, Fitness_tra: 0
Rule 57: 2111567714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4b7481b2b4, Class:  1, CF:0.998145, Len: 10, Fitness_tra: 0
Rule 59: 4c22857122, Class:  1, CF:0.992448, Len: 10, Fitness_tra: 0
Rule 60: 7184812312, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 7114d62414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 247253be14, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 4b5b114b42, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 64: b14b9a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 417bc1477b, Class:  1, CF:0.990096, Len: 10, Fitness_tra: 0
Rule 66: 22b7594b4b, Class:  1, CF:0.593399, Len: 10, Fitness_tra: 0
Rule 67: 2b72562224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 152b51751d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4114132218, Class:  1, CF:0.991663, Len: 10, Fitness_tra: 0
Rule 70: 242bc6444b, Class:  1, CF:0.996377, Len: 10, Fitness_tra: 0
Rule 71: 224713b777, Class:  1, CF:0.306437, Len: 10, Fitness_tra: 0
Rule 72: b2b2262414, Class:  0, CF:0.830111, Len: 10, Fitness_tra: 0
Rule 73: 2142452147, Class:  1, CF:0.993931, Len: 10, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 45b721477b, Class:  1, CF:0.77666, Len: 10, Fitness_tra: 0
Rule 76: 217251b412, Class:  1, CF:0.997574, Len: 10, Fitness_tra: 0
Rule 77: 2287557151, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 78: 1142d1bc47, Class:  1, CF:0.999674, Len: 10, Fitness_tra: 0
Rule 79: bc77557bb7, Class:  0, CF:0.490123, Len: 10, Fitness_tra: 0
Rule 80: 1c72597b72, Class:  0, CF:0.775031, Len: 10, Fitness_tra: 0
Rule 81: 49171d4812, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 4412132282, Class:  1, CF:0.999899, Len: 10, Fitness_tra: 0
Rule 83: 28b413b172, Class:  1, CF:0.609272, Len: 10, Fitness_tra: 0
Rule 84: 1141162111, Class:  0, CF:0.519953, Len: 10, Fitness_tra: 97
Rule 85: 2147d5b242, Class:  1, CF:0.999596, Len: 10, Fitness_tra: 0
Rule 86: 2821252242, Class:  1, CF:0.998748, Len: 10, Fitness_tra: 0
Rule 87: 42b28f7b7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 4217112172, Class:  1, CF:0.846465, Len: 10, Fitness_tra: -325
Rule 89: b771dd4174, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 0
Rule 90: 2214991114, Class:  1, CF:0.268322, Len: 10, Fitness_tra: 0
Rule 91: 2e14510213, Class:  1, CF:0.330689, Len:  9, Fitness_tra: 0
Rule 92: 152b556224, Class:  1, CF:0.912391, Len: 10, Fitness_tra: 7
Rule 93: 1271517b12, Class:  1, CF:0.930643, Len: 10, Fitness_tra: -1
Rule 94: 2272532154, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 95: b421c8427c, Class:  1, CF:0.999949, Len: 10, Fitness_tra: 81
Rule 96: 1724c92277, Class:  1, CF:0.991873, Len: 10, Fitness_tra: -2
Rule 97: b57d157054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2c12417412, Class:  1, CF:0.95663, Len: 10, Fitness_tra: -2
Rule 99: b2715b2b46, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 1b11d1717b, Class:  1, CF:0.99754, Len: 10, Fitness_tra: 63
------Current------
Miss_rate(tra)	:61.9082
------Result------
Miss_rate(tra)	:61.9082
Miss_rate(tst)	:40.0366
ARL				:9.86364

------Generation 10------
Rule  1: 4224191a7b, Class:  0, CF:0.267975, Len: 10, Fitness_tra: 1103
Rule  2: 2117851aa1, Class:  0, CF:0.297441, Len: 10, Fitness_tra: 696
Rule  3: 74b1c818b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 669
Rule  4: 4b2151111b, Class:  1, CF:0.999364, Len: 10, Fitness_tra: 322
Rule  5: 4221131511, Class:  1, CF:  1, Len: 10, Fitness_tra: 316
Rule  6: 1b11d87744, Class:  1, CF:0.999496, Len: 10, Fitness_tra: 210
Rule  7: 73b1717bb1, Class:  1, CF:0.965401, Len: 10, Fitness_tra: 273
Rule  8: 4241112214, Class:  1, CF:0.992366, Len: 10, Fitness_tra: 147
Rule  9: 42711db772, Class:  1, CF:0.990066, Len: 10, Fitness_tra: 62
Rule 10: 4172c91244, Class:  1, CF:0.998778, Len: 10, Fitness_tra: 111
Rule 11: 16b1c8242b, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 101
Rule 12: 7441c31b44, Class:  1, CF:0.995773, Len: 10, Fitness_tra: 76
Rule 13: 4771292427, Class:  1, CF:0.999946, Len: 10, Fitness_tra: 75
Rule 14: 1781111944, Class:  1, CF:  1, Len: 10, Fitness_tra: 59
Rule 15: 7744191b72, Class:  1, CF:0.988583, Len: 10, Fitness_tra: 56
Rule 16: 1c14951213, Class:  0, CF:0.978489, Len: 10, Fitness_tra: 42
Rule 17: 77111ab122, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 1514857112, Class:  0, CF:0.908067, Len: 10, Fitness_tra: 27
Rule 19: 2c21591882, Class:  1, CF:  1, Len: 10, Fitness_tra: 26
Rule 20: b271112246, Class:  1, CF:0.920275, Len: 10, Fitness_tra: 30
Rule 21: b571157214, Class:  1, CF:0.995253, Len: 10, Fitness_tra: 43
Rule 22: 224111421c, Class:  1, CF:0.997997, Len: 10, Fitness_tra: 8
Rule 23: b12115427c, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 5
Rule 24: 4121164172, Class:  0, CF:0.879957, Len: 10, Fitness_tra: 3
Rule 25: bc71c9241b, Class:  1, CF:0.993997, Len: 10, Fitness_tra: 3
Rule 26: 1c14d51217, Class:  0, CF:0.108982, Len: 10, Fitness_tra: 2
Rule 27: 1b219e711d, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 28: 22b11544b1, Class:  1, CF:0.988311, Len: 10, Fitness_tra: 2
Rule 29: b512262201, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 30: 112151b257, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 31: 2bb42f77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 32: 1117857151, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 33: 7177d571b7, Class:  1, CF:0.971486, Len: 10, Fitness_tra: 0
Rule 34: c1141e1e35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 19875dbee2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b47bc3bbb7, Class:  1, CF:0.944104, Len: 10, Fitness_tra: 0
Rule 37: cc449a2d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2171514224, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 39: 1681111958, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: c8413fb59c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2842994224, Class:  1, CF:0.971393, Len: 10, Fitness_tra: 0
Rule 42: 4274412b14, Class:  1, CF:0.912969, Len: 10, Fitness_tra: 0
Rule 43: 4b2b114b42, Class:  1, CF:0.98829, Len: 10, Fitness_tra: 0
Rule 44: 7247137b27, Class:  1, CF:0.490207, Len: 10, Fitness_tra: 0
Rule 45: 2191c21f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 714729b477, Class:  1, CF:0.996272, Len: 10, Fitness_tra: 0
Rule 47: 2bb4c54177, Class:  1, CF:0.998039, Len: 10, Fitness_tra: 0
Rule 48: 1244132b4b, Class:  1, CF:0.388505, Len: 10, Fitness_tra: 0
Rule 49: b12451b221, Class:  1, CF:0.99901, Len: 10, Fitness_tra: 0
Rule 50: 2c22532154, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 51: 442226b174, Class:  0, CF:0.668147, Len: 10, Fitness_tra: 0
Rule 52: 74bb11b242, Class:  1, CF:0.988349, Len: 10, Fitness_tra: 0
Rule 53: 472b1641b2, Class:  0, CF:0.791811, Len: 10, Fitness_tra: 0
Rule 54: b824c9227b, Class:  1, CF:0.977666, Len: 10, Fitness_tra: 0
Rule 55: 2d27557231, Class:  0, CF:0.85018, Len: 10, Fitness_tra: 0
Rule 56: b12b1e47bb, Class:  1, CF:0.951759, Len: 10, Fitness_tra: 0
Rule 57: 2111567714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4b7481b2b4, Class:  1, CF:0.998145, Len: 10, Fitness_tra: 0
Rule 59: 4c22857122, Class:  1, CF:0.992448, Len: 10, Fitness_tra: 0
Rule 60: 7184812312, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 7114d62414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 247253be14, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 4b5b114b42, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 64: b14b9a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 417bc1477b, Class:  1, CF:0.990096, Len: 10, Fitness_tra: 0
Rule 66: 22b7594b4b, Class:  1, CF:0.593399, Len: 10, Fitness_tra: 0
Rule 67: 2b72562224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 152b51751d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4114132218, Class:  1, CF:0.991663, Len: 10, Fitness_tra: 0
Rule 70: 242bc6444b, Class:  1, CF:0.996377, Len: 10, Fitness_tra: 0
Rule 71: 224713b777, Class:  1, CF:0.306437, Len: 10, Fitness_tra: 0
Rule 72: b2b2262414, Class:  0, CF:0.830111, Len: 10, Fitness_tra: 0
Rule 73: 2142452147, Class:  1, CF:0.993931, Len: 10, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 45b721477b, Class:  1, CF:0.77666, Len: 10, Fitness_tra: 0
Rule 76: 217251b412, Class:  1, CF:0.997574, Len: 10, Fitness_tra: 0
Rule 77: 2287557151, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 78: 1142d1bc47, Class:  1, CF:0.999674, Len: 10, Fitness_tra: 0
Rule 79: bc77557bb7, Class:  0, CF:0.490123, Len: 10, Fitness_tra: 0
Rule 80: 1c72597b72, Class:  0, CF:0.775031, Len: 10, Fitness_tra: 0
Rule 81: 49171d4812, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 4412132282, Class:  1, CF:0.999899, Len: 10, Fitness_tra: 0
Rule 83: 28b413b172, Class:  1, CF:0.609272, Len: 10, Fitness_tra: 0
Rule 84: 1141162111, Class:  0, CF:0.519953, Len: 10, Fitness_tra: 97
Rule 85: 2147d5b242, Class:  1, CF:0.999596, Len: 10, Fitness_tra: 0
Rule 86: 2821252242, Class:  1, CF:0.998748, Len: 10, Fitness_tra: 0
Rule 87: 42b28f7b7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 4217112172, Class:  1, CF:0.846465, Len: 10, Fitness_tra: -325
Rule 89: b771dd4174, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 0
Rule 90: 2214991114, Class:  1, CF:0.268322, Len: 10, Fitness_tra: 0
Rule 91: 2e14510213, Class:  1, CF:0.330689, Len:  9, Fitness_tra: 0
Rule 92: 152b556224, Class:  1, CF:0.912391, Len: 10, Fitness_tra: 7
Rule 93: 1271517b12, Class:  1, CF:0.930643, Len: 10, Fitness_tra: -1
Rule 94: 2272532154, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 95: b421c8427c, Class:  1, CF:0.999949, Len: 10, Fitness_tra: 81
Rule 96: 1724c92277, Class:  1, CF:0.991873, Len: 10, Fitness_tra: -2
Rule 97: b57d157054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2c12417412, Class:  1, CF:0.95663, Len: 10, Fitness_tra: -2
Rule 99: b2715b2b46, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 1b11d1717b, Class:  1, CF:0.99754, Len: 10, Fitness_tra: 63
------Current------
Miss_rate(tra)	:61.9082
------Result------
Miss_rate(tra)	:61.9082
Miss_rate(tst)	:40.0366
ARL				:9.86364

------Generation 20------
Rule  1: 4224191a7b, Class:  0, CF:0.267975, Len: 10, Fitness_tra: 1047
Rule  2: 2117851aa1, Class:  0, CF:0.297441, Len: 10, Fitness_tra: 678
Rule  3: 74b1c818b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 666
Rule  4: 4b2151111b, Class:  1, CF:0.999364, Len: 10, Fitness_tra: 318
Rule  5: 4221131511, Class:  1, CF:  1, Len: 10, Fitness_tra: 303
Rule  6: 73b1717bb1, Class:  1, CF:0.965401, Len: 10, Fitness_tra: 169
Rule  7: 1b11d87744, Class:  1, CF:0.999496, Len: 10, Fitness_tra: 206
Rule  8: 4241112214, Class:  1, CF:0.992366, Len: 10, Fitness_tra: 59
Rule  9: 4172c91244, Class:  1, CF:0.998778, Len: 10, Fitness_tra: 87
Rule 10: 16b1c8242b, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 60
Rule 11: 1141162111, Class:  0, CF:0.519953, Len: 10, Fitness_tra: 97
Rule 12: b421c8427c, Class:  1, CF:0.999949, Len: 10, Fitness_tra: 43
Rule 13: 7441c31b44, Class:  1, CF:0.995773, Len: 10, Fitness_tra: 78
Rule 14: 4771292427, Class:  1, CF:0.999946, Len: 10, Fitness_tra: 63
Rule 15: 1b11d1717b, Class:  1, CF:0.99754, Len: 10, Fitness_tra: 63
Rule 16: 42711db772, Class:  1, CF:0.990066, Len: 10, Fitness_tra: 30
Rule 17: 1781111944, Class:  1, CF:  1, Len: 10, Fitness_tra: 54
Rule 18: 7744191b72, Class:  1, CF:0.988583, Len: 10, Fitness_tra: 38
Rule 19: b571157214, Class:  1, CF:0.995253, Len: 10, Fitness_tra: 0
Rule 20: 1c14951213, Class:  0, CF:0.978489, Len: 10, Fitness_tra: 42
Rule 21: b271112246, Class:  1, CF:0.920275, Len: 10, Fitness_tra: 1
Rule 22: 1514857112, Class:  0, CF:0.908067, Len: 10, Fitness_tra: 26
Rule 23: 2c21591882, Class:  1, CF:  1, Len: 10, Fitness_tra: 23
Rule 24: 224111421c, Class:  1, CF:0.997997, Len: 10, Fitness_tra: 8
