------Generation 0------
Rule  1: b4bbf14221, Class:  4, CF:0.998396, Len: 10, Fitness_tra: 0
Rule 46: 72b483222b, Class:  2, CF:0.995885, Len: 10, Fitness_tra: 0
Rule 47: 2122514188, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b14223744b, Class:  4, CF:0.189966, Len: 10, Fitness_tra: 0
Rule 50: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7a2211b772, Class:  4, CF:0.286518, Len: 10, Fitness_tra: 0
Rule 54: 1212561b77, Class:  3, CF:0.440385, Len: 10, Fitness_tra: 0
Rule 55: b1241e28c7, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 56: b41b714b22, Class:  4, CF:0.286349, Len: 10, Fitness_tra: 0
Rule 57: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1174617424, Class:  4, CF:0.884037, Len: 10, Fitness_tra: 0
Rule 59: 4b27a12147, Class:  4, CF:0.99985, Len: 10, Fitness_tra: 0
Rule 60: 272bf1b212, Class:  4, CF:0.999814, Len: 10, Fitness_tra: 0
Rule 61: 4174fab144, Class:  4, CF:0.999568, Len: 10, Fitness_tra: 0
Rule 62: 2214834447, Class:  2, CF:0.992167, Len: 10, Fitness_tra: 0
Rule 63: 4444834171, Class:  2, CF:0.719961, Len: 10, Fitness_tra: 0
Rule 64: 4412191bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 414741b1b7, Class:  2, CF:0.160567, Len: 10, Fitness_tra: 0
Rule 67: 4b2bf142b2, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 68: 22143fbe38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 44129e7bb4, Class:  1, CF:0.412987, Len: 10, Fitness_tra: 0
Rule 70: 777213b7b1, Class:  4, CF:0.988712, Len: 10, Fitness_tra: 0
Rule 71: 717451b2bb, Class:  2, CF:0.979297, Len: 10, Fitness_tra: 0
Rule 72: bb14662124, Class:  4, CF:0.998733, Len: 10, Fitness_tra: 0
Rule 73: 4abdd31747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2472152144, Class:  2, CF:0.798858, Len: 10, Fitness_tra: 0
Rule 76: 114b217b72, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: bbb24e74b4, Class:  2, CF:0.99718, Len: 10, Fitness_tra: 0
Rule 79: 274b61b1b2, Class:  4, CF:0.99837, Len: 10, Fitness_tra: 0
Rule 80: 47711142b1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 71288d7b2b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 71141c727b, Class:  2, CF:0.749027, Len: 10, Fitness_tra: 0
Rule 83: 121ba62b41, Class:  4, CF:0.954959, Len: 10, Fitness_tra: 0
Rule 84: 2147fab2b1, Class:  4, CF:0.998914, Len: 10, Fitness_tra: 0
Rule 85: 112253b271, Class:  2, CF:0.99723, Len: 10, Fitness_tra: 0
Rule 86: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b4129e2477, Class:  2, CF:0.622256, Len: 10, Fitness_tra: 0
Rule 88: 7122d344bb, Class:  2, CF:0.999073, Len: 10, Fitness_tra: 0
Rule 89: 224436711b, Class:  4, CF:0.994373, Len: 10, Fitness_tra: 0
Rule 90: 7bb7131227, Class:  4, CF:0.636621, Len: 10, Fitness_tra: 0
Rule 91: 272a66bb4b, Class:  4, CF:0.999809, Len: 10, Fitness_tra: 0
Rule 92: 157b11d114, Class:  1, CF:  1, Len: 10, Fitness_tra: 5
Rule 93: 4b71568447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 010223060b, Class:  4, CF:0.288504, Len:  6, Fitness_tra: 0
Rule 95: 14b19d7144, Class:  2, CF:0.969489, Len: 10, Fitness_tra: 41
Rule 96: 744a164177, Class:  4, CF:0.999883, Len: 10, Fitness_tra: 0
Rule 97: 14c21b2141, Class:  4, CF:0.725155, Len: 10, Fitness_tra: 0
Rule 98: 0074617422, Class:  4, CF:0.753155, Len:  8, Fitness_tra: 0
Rule 99: 0101170000, Class:  4, CF:0.383901, Len:  4, Fitness_tra: -637
Rule100: 42258a124b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.303
------Result------
Miss_rate(tra)	:99.303
Miss_rate(tst)	:96.6179
ARL				:9.78481

------Generation 7------
Rule  1: b1b11e2444, Class:  2, CF:0.999445, Len: 10, Fitness_tra: 190
Rule  2: 1c1285b17b, Class:  1, CF:0.299146, Len: 10, Fitness_tra: 230
Rule  3: b171e1117b, Class:  2, CF:0.995781, Len: 10, Fitness_tra: 164
Rule  4: 184159bb43, Class:  1, CF:0.746066, Len: 10, Fitness_tra: 132
Rule  5: 14b19d7144, Class:  2, CF:0.969489, Len: 10, Fitness_tra: -67
Rule  6: 42413a1b4b, Class:  4, CF:0.999959, Len: 10, Fitness_tra: 107
Rule  7: b111bd2b24, Class:  2, CF:0.586294, Len: 10, Fitness_tra: -823
Rule  8: 24b14d7bbb, Class:  2, CF:0.764875, Len: 10, Fitness_tra: 566
Rule  9: 4421822212, Class:  2, CF:0.998583, Len: 10, Fitness_tra: 250
Rule 10: 712119b718, Class:  2, CF:0.985551, Len: 10, Fitness_tra: 32
Rule 11: 157b11d114, Class:  1, CF:  1, Len: 10, Fitness_tra: 7
Rule 12: 22125e21b2, Class:  1, CF:0.938991, Len: 10, Fitness_tra: 22
Rule 13: 0000261b22, Class:  4, CF:0.999314, Len:  6, Fitness_tra: -12
Rule 14: 15c1811d31, Class:  2, CF:  1, Len: 10, Fitness_tra: 11
Rule 15: 72b2152b21, Class:  1, CF:0.613619, Len: 10, Fitness_tra: 3
Rule 16: 115b1211c1, Class:  4, CF:0.928928, Len: 10, Fitness_tra: 8
Rule 17: 42258a124b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 244111b477, Class:  2, CF:0.0654225, Len: 10, Fitness_tra: 37
Rule 19: 1bb2fa1b17, Class:  4, CF:0.998511, Len: 10, Fitness_tra: 1
Rule 20: 2c1119424b, Class:  2, CF:0.975975, Len: 10, Fitness_tra: 1
Rule 21: b4bbf14221, Class:  4, CF:0.998396, Len: 10, Fitness_tra: 0
Rule 22: 44775921b4, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2227a97742, Class:  4, CF:0.986054, Len: 10, Fitness_tra: 0
Rule 24: 22bb59bb47, Class:  1, CF:0.602962, Len: 10, Fitness_tra: 1
Rule 25: 28cb91b554, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 214781747b, Class:  2, CF:0.994615, Len: 10, Fitness_tra: 0
Rule 27: 2678827212, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: b2745fb77b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 7944167277, Class:  4, CF:0.999989, Len: 10, Fitness_tra: 0
Rule 30: 2b12164427, Class:  4, CF:0.999256, Len: 10, Fitness_tra: 0
Rule 31: 42755f4d7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b174114771, Class:  4, CF:0.355582, Len: 10, Fitness_tra: -71
Rule 33: 231d5d2144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 7412f6b421, Class:  4, CF:0.992652, Len: 10, Fitness_tra: 0
Rule 35: 487221bbb4, Class:  4, CF:0.790847, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 72b483222b, Class:  2, CF:0.995885, Len: 10, Fitness_tra: 0
Rule 38: 2122514188, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b14223744b, Class:  4, CF:0.189966, Len: 10, Fitness_tra: -2
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7a2211b772, Class:  4, CF:0.286518, Len: 10, Fitness_tra: 0
Rule 45: 1212561b77, Class:  3, CF:0.440385, Len: 10, Fitness_tra: 0
Rule 46: b1241e28c7, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: b41b714b22, Class:  4, CF:0.286349, Len: 10, Fitness_tra: -1
Rule 48: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1174617424, Class:  4, CF:0.884037, Len: 10, Fitness_tra: -235
Rule 50: 4b27a12147, Class:  4, CF:0.99985, Len: 10, Fitness_tra: 1
Rule 51: 272bf1b212, Class:  4, CF:0.999814, Len: 10, Fitness_tra: 0
Rule 52: 4174fab144, Class:  4, CF:0.999568, Len: 10, Fitness_tra: 0
Rule 53: 2214834447, Class:  2, CF:0.992167, Len: 10, Fitness_tra: 0
Rule 54: 4444834171, Class:  2, CF:0.719961, Len: 10, Fitness_tra: -13
Rule 55: 4412191bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 414741b1b7, Class:  2, CF:0.160567, Len: 10, Fitness_tra: -3
Rule 58: 4b2bf142b2, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 59: 22143fbe38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 44129e7bb4, Class:  1, CF:0.412987, Len: 10, Fitness_tra: 0
Rule 61: 777213b7b1, Class:  4, CF:0.988712, Len: 10, Fitness_tra: -11
Rule 62: 717451b2bb, Class:  2, CF:0.979297, Len: 10, Fitness_tra: 0
Rule 63: bb14662124, Class:  4, CF:0.998733, Len: 10, Fitness_tra: 0
Rule 64: 4abdd31747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2472152144, Class:  2, CF:0.798858, Len: 10, Fitness_tra: 0
Rule 67: 114b217b72, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: bbb24e74b4, Class:  2, CF:0.99718, Len: 10, Fitness_tra: 0
Rule 70: 274b61b1b2, Class:  4, CF:0.99837, Len: 10, Fitness_tra: 6
Rule 71: 47711142b1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 71288d7b2b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 71141c727b, Class:  2, CF:0.749027, Len: 10, Fitness_tra: -100
Rule 74: 121ba62b41, Class:  4, CF:0.954959, Len: 10, Fitness_tra: 0
Rule 75: 2147fab2b1, Class:  4, CF:0.998914, Len: 10, Fitness_tra: 0
Rule 76: 112253b271, Class:  2, CF:0.99723, Len: 10, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b4129e2477, Class:  2, CF:0.622256, Len: 10, Fitness_tra: 0
Rule 79: 7122d344bb, Class:  2, CF:0.999073, Len: 10, Fitness_tra: 0
Rule 80: 224436711b, Class:  4, CF:0.994373, Len: 10, Fitness_tra: 0
Rule 81: 1151597661, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4157c54362, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 71bb9a24b7, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 8244167552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 25147c4174, Class:  2, CF:0.223624, Len: 10, Fitness_tra: -3
Rule 89: 21b439bb4b, Class:  2, CF:0.679762, Len: 10, Fitness_tra: 0
Rule 90: 2d41211171, Class:  4, CF:0.373903, Len: 10, Fitness_tra: -532
Rule 91: 741259b447, Class:  2, CF:0.924488, Len: 10, Fitness_tra: 0
Rule 92: 164a1b4171, Class:  4, CF:0.0184364, Len: 10, Fitness_tra: -549
Rule 93: a400f11b2a, Class:  4, CF:0.955015, Len:  8, Fitness_tra: 2028
Rule 94: 1412997b44, Class:  1, CF:0.556633, Len: 10, Fitness_tra: 570
Rule 95: 1000461b42, Class:  4, CF:0.999451, Len:  7, Fitness_tra: 137
Rule 96: b57111e114, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: bb42a17147, Class:  4, CF:0.999617, Len: 10, Fitness_tra: 0
Rule 98: 121b697424, Class:  0, CF:0.424689, Len: 10, Fitness_tra: 31
Rule 99: 2242bd2bb4, Class:  4, CF:0.627164, Len: 10, Fitness_tra: 0
Rule100: 15bb91a11e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:98.896
------Result------
Miss_rate(tra)	:98.896
Miss_rate(tst)	:95.521
ARL				:9.87671

------Generation 8------
Rule  1: b1b11e2444, Class:  2, CF:0.999445, Len: 10, Fitness_tra: 190
Rule  2: 1c1285b17b, Class:  1, CF:0.299146, Len: 10, Fitness_tra: 230
Rule  3: b171e1117b, Class:  2, CF:0.995781, Len: 10, Fitness_tra: 164
Rule  4: 184159bb43, Class:  1, CF:0.746066, Len: 10, Fitness_tra: 132
Rule  5: 14b19d7144, Class:  2, CF:0.969489, Len: 10, Fitness_tra: -67
Rule  6: 42413a1b4b, Class:  4, CF:0.999959, Len: 10, Fitness_tra: 107
Rule  7: b111bd2b24, Class:  2, CF:0.586294, Len: 10, Fitness_tra: -823
Rule  8: 24b14d7bbb, Class:  2, CF:0.764875, Len: 10, Fitness_tra: 566
Rule  9: 4421822212, Class:  2, CF:0.998583, Len: 10, Fitness_tra: 250
Rule 10: 712119b718, Class:  2, CF:0.985551, Len: 10, Fitness_tra: 32
Rule 11: 157b11d114, Class:  1, CF:  1, Len: 10, Fitness_tra: 7
Rule 12: 22125e21b2, Class:  1, CF:0.938991, Len: 10, Fitness_tra: 22
Rule 13: 0000261b22, Class:  4, CF:0.999314, Len:  6, Fitness_tra: -12
Rule 14: 15c1811d31, Class:  2, CF:  1, Len: 10, Fitness_tra: 11
Rule 15: 72b2152b21, Class:  1, CF:0.613619, Len: 10, Fitness_tra: 3
Rule 16: 115b1211c1, Class:  4, CF:0.928928, Len: 10, Fitness_tra: 8
Rule 17: 42258a124b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 244111b477, Class:  2, CF:0.0654225, Len: 10, Fitness_tra: 37
Rule 19: 1bb2fa1b17, Class:  4, CF:0.998511, Len: 10, Fitness_tra: 1
Rule 20: 2c1119424b, Class:  2, CF:0.975975, Len: 10, Fitness_tra: 1
Rule 21: b4bbf14221, Class:  4, CF:0.998396, Len: 10, Fitness_tra: 0
Rule 22: 44775921b4, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2227a97742, Class:  4, CF:0.986054, Len: 10, Fitness_tra: 0
Rule 24: 22bb59bb47, Class:  1, CF:0.602962, Len: 10, Fitness_tra: 1
Rule 25: 28cb91b554, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 214781747b, Class:  2, CF:0.994615, Len: 10, Fitness_tra: 0
Rule 27: 2678827212, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: b2745fb77b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 7944167277, Class:  4, CF:0.999989, Len: 10, Fitness_tra: 0
Rule 30: 2b12164427, Class:  4, CF:0.999256, Len: 10, Fitness_tra: 0
Rule 31: 42755f4d7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b174114771, Class:  4, CF:0.355582, Len: 10, Fitness_tra: -71
Rule 33: 231d5d2144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 7412f6b421, Class:  4, CF:0.992652, Len: 10, Fitness_tra: 0
Rule 35: 487221bbb4, Class:  4, CF:0.790847, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 72b483222b, Class:  2, CF:0.995885, Len: 10, Fitness_tra: 0
Rule 38: 2122514188, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b14223744b, Class:  4, CF:0.189966, Len: 10, Fitness_tra: -2
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7a2211b772, Class:  4, CF:0.286518, Len: 10, Fitness_tra: 0
Rule 45: 1212561b77, Class:  3, CF:0.440385, Len: 10, Fitness_tra: 0
Rule 46: b1241e28c7, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: b41b714b22, Class:  4, CF:0.286349, Len: 10, Fitness_tra: -1
Rule 48: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1174617424, Class:  4, CF:0.884037, Len: 10, Fitness_tra: -235
Rule 50: 4b27a12147, Class:  4, CF:0.99985, Len: 10, Fitness_tra: 1
Rule 51: 272bf1b212, Class:  4, CF:0.999814, Len: 10, Fitness_tra: 0
Rule 52: 4174fab144, Class:  4, CF:0.999568, Len: 10, Fitness_tra: 0
Rule 53: 2214834447, Class:  2, CF:0.992167, Len: 10, Fitness_tra: 0
Rule 54: 4444834171, Class:  2, CF:0.719961, Len: 10, Fitness_tra: -13
Rule 55: 4412191bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 414741b1b7, Class:  2, CF:0.160567, Len: 10, Fitness_tra: -3
Rule 58: 4b2bf142b2, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 59: 22143fbe38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 44129e7bb4, Class:  1, CF:0.412987, Len: 10, Fitness_tra: 0
Rule 61: 777213b7b1, Class:  4, CF:0.988712, Len: 10, Fitness_tra: -11
Rule 62: 717451b2bb, Class:  2, CF:0.979297, Len: 10, Fitness_tra: 0
Rule 63: bb14662124, Class:  4, CF:0.998733, Len: 10, Fitness_tra: 0
Rule 64: 4abdd31747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2472152144, Class:  2, CF:0.798858, Len: 10, Fitness_tra: 0
Rule 67: 114b217b72, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: bbb24e74b4, Class:  2, CF:0.99718, Len: 10, Fitness_tra: 0
Rule 70: 274b61b1b2, Class:  4, CF:0.99837, Len: 10, Fitness_tra: 6
Rule 71: 47711142b1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 71288d7b2b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 71141c727b, Class:  2, CF:0.749027, Len: 10, Fitness_tra: -100
Rule 74: 121ba62b41, Class:  4, CF:0.954959, Len: 10, Fitness_tra: 0
Rule 75: 2147fab2b1, Class:  4, CF:0.998914, Len: 10, Fitness_tra: 0
Rule 76: 112253b271, Class:  2, CF:0.99723, Len: 10, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b4129e2477, Class:  2, CF:0.622256, Len: 10, Fitness_tra: 0
Rule 79: 7122d344bb, Class:  2, CF:0.999073, Len: 10, Fitness_tra: 0
Rule 80: 224436711b, Class:  4, CF:0.994373, Len: 10, Fitness_tra: 0
Rule 81: 1151597661, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4157c54362, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 71bb9a24b7, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 8244167552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 25147c4174, Class:  2, CF:0.223624, Len: 10, Fitness_tra: -3
Rule 89: 21b439bb4b, Class:  2, CF:0.679762, Len: 10, Fitness_tra: 0
Rule 90: 2d41211171, Class:  4, CF:0.373903, Len: 10, Fitness_tra: -532
Rule 91: 741259b447, Class:  2, CF:0.924488, Len: 10, Fitness_tra: 0
Rule 92: 164a1b4171, Class:  4, CF:0.0184364, Len: 10, Fitness_tra: -549
Rule 93: a400f11b2a, Class:  4, CF:0.955015, Len:  8, Fitness_tra: 2028
Rule 94: 1412997b44, Class:  1, CF:0.556633, Len: 10, Fitness_tra: 570
Rule 95: 1000461b42, Class:  4, CF:0.999451, Len:  7, Fitness_tra: 137
Rule 96: b57111e114, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: bb42a17147, Class:  4, CF:0.999617, Len: 10, Fitness_tra: 0
Rule 98: 121b697424, Class:  0, CF:0.424689, Len: 10, Fitness_tra: 31
Rule 99: 2242bd2bb4, Class:  4, CF:0.627164, Len: 10, Fitness_tra: 0
Rule100: 15bb91a11e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:98.896
------Result------
Miss_rate(tra)	:98.896
Miss_rate(tst)	:95.521
ARL				:9.87671

------Generation 9------
Rule  1: a400f11b2a, Class:  4, CF:0.955015, Len:  8, Fitness_tra: 1087
Rule  2: 1412997b44, Class:  1, CF:0.556633, Len: 10, Fitness_tra: 1
Rule  3: 24b14d7bbb, Class:  2, CF:0.764875, Len: 10, Fitness_tra: -62
Rule  4: 4421822212, Class:  2, CF:0.998583, Len: 10, Fitness_tra: 174
Rule  5: 1c1285b17b, Class:  1, CF:0.299146, Len: 10, Fitness_tra: 0
Rule  6: b1b11e2444, Class:  2, CF:0.999445, Len: 10, Fitness_tra: 85
Rule  7: b171e1117b, Class:  2, CF:0.995781, Len: 10, Fitness_tra: 70
Rule  8: 1000461b42, Class:  4, CF:0.999451, Len:  7, Fitness_tra: 224
Rule  9: 184159bb43, Class:  1, CF:0.746066, Len: 10, Fitness_tra: 0
Rule 10: 42413a1b4b, Class:  4, CF:0.999959, Len: 10, Fitness_tra: 106
Rule 11: 244111b477, Class:  2, CF:0.0654225, Len: 10, Fitness_tra: 30
Rule 12: 712119b718, Class:  2, CF:0.985551, Len: 10, Fitness_tra: 9
Rule 13: 121b697424, Class:  0, CF:0.424689, Len: 10, Fitness_tra: 0
Rule 14: 22125e21b2, Class:  1, CF:0.938991, Len: 10, Fitness_tra: 0
Rule 15: 15c1811d31, Class:  2, CF:  1, Len: 10, Fitness_tra: 21
Rule 16: 115b1211c1, Class:  4, CF:0.928928, Len: 10, Fitness_tra: 24
Rule 17: 157b11d114, Class:  1, CF:  1, Len: 10, Fitness_tra: 7
Rule 18: 274b61b1b2, Class:  4, CF:0.99837, Len: 10, Fitness_tra: 2
Rule 19: 72b2152b21, Class:  1, CF:0.613619, Len: 10, Fitness_tra: 1
Rule 20: 4b27a12147, Class:  4, CF:0.99985, Len: 10, Fitness_tra: 0
Rule 21: 1bb2fa1b17, Class:  4, CF:0.998511, Len: 10, Fitness_tra: 1
Rule 22: 2c1119424b, Class:  2, CF:0.975975, Len: 10, Fitness_tra: 1
Rule 23: 22bb59bb47, Class:  1, CF:0.602962, Len: 10, Fitness_tra: 0
Rule 24: 15bb91a11e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 28cb91b554, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 214781747b, Class:  2, CF:0.994615, Len: 10, Fitness_tra: 0
Rule 27: 2678827212, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: b2745fb77b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 7944167277, Class:  4, CF:0.999989, Len: 10, Fitness_tra: 0
Rule 30: 2b12164427, Class:  4, CF:0.999256, Len: 10, Fitness_tra: 0
Rule 31: 42755f4d7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 2242bd2bb4, Class:  4, CF:0.627164, Len: 10, Fitness_tra: 0
Rule 33: 231d5d2144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 7412f6b421, Class:  4, CF:0.992652, Len: 10, Fitness_tra: 0
Rule 35: 487221bbb4, Class:  4, CF:0.790847, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 72b483222b, Class:  2, CF:0.995885, Len: 10, Fitness_tra: 0
Rule 38: 2122514188, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 42258a124b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7a2211b772, Class:  4, CF:0.286518, Len: 10, Fitness_tra: 0
Rule 45: 1212561b77, Class:  3, CF:0.440385, Len: 10, Fitness_tra: 0
Rule 46: b1241e28c7, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: bb42a17147, Class:  4, CF:0.999617, Len: 10, Fitness_tra: 0
Rule 48: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 272bf1b212, Class:  4, CF:0.999814, Len: 10, Fitness_tra: 0
Rule 50: 4174fab144, Class:  4, CF:0.999568, Len: 10, Fitness_tra: 0
Rule 51: 2214834447, Class:  2, CF:0.992167, Len: 10, Fitness_tra: -1
Rule 52: 4412191bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4b2bf142b2, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 55: 22143fbe38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 44129e7bb4, Class:  1, CF:0.412987, Len: 10, Fitness_tra: 0
Rule 57: 717451b2bb, Class:  2, CF:0.979297, Len: 10, Fitness_tra: 0
Rule 58: bb14662124, Class:  4, CF:0.998733, Len: 10, Fitness_tra: 0
Rule 59: 4abdd31747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
