------Generation 0------
Rule  1: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 60
Rule 46: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1cb2ff1b77, Class:  4, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 48: b2b78ab271, Class:  1, CF:0.670678, Len: 10, Fitness_tra: 0
Rule 49: 41b253b772, Class:  2, CF:0.994783, Len: 10, Fitness_tra: 0
Rule 50: 427be31147, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 51: b17443712b, Class:  4, CF:0.728694, Len: 10, Fitness_tra: 0
Rule 52: ca52c5bee1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 42b2582722, Class:  2, CF:0.122931, Len: 10, Fitness_tra: 0
Rule 55: b26b5040b7, Class:  1, CF:0.767915, Len:  8, Fitness_tra: -395
Rule 56: 4c44391915, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 7b71d61427, Class:  3, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 58: 47742e4b74, Class:  2, CF:0.91413, Len: 10, Fitness_tra: 0
Rule 59: 72271127b7, Class:  4, CF:0.785472, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2472184bb4, Class:  4, CF:0.0306519, Len: 10, Fitness_tra: 0
Rule 62: 2c442e2b14, Class:  1, CF:0.0262262, Len: 10, Fitness_tra: 0
Rule 63: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: b2776a1271, Class:  4, CF:0.998694, Len: 10, Fitness_tra: 0
Rule 66: 71b113b7b7, Class:  4, CF:0.947592, Len: 10, Fitness_tra: 0
Rule 67: 12b4914b24, Class:  1, CF:0.953443, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 12cbd3b539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 28bd61b224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1412da7b12, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 48213378d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 76: 4bb76f2722, Class:  4, CF:0.999965, Len: 10, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 7b1236744b, Class:  4, CF:0.99222, Len: 10, Fitness_tra: 0
Rule 79: 12223db47b, Class:  4, CF:0.277272, Len: 10, Fitness_tra: 0
Rule 80: 4c4b5d7744, Class:  2, CF:0.968866, Len: 10, Fitness_tra: 0
Rule 81: 1221e64b27, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2174ca1b41, Class:  3, CF:0.513941, Len: 10, Fitness_tra: 1
Rule 84: c511157162, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 85: 4d1cd1b241, Class:  1, CF:0.999066, Len: 10, Fitness_tra: 0
Rule 86: 24b7664244, Class:  4, CF:0.999818, Len: 10, Fitness_tra: -1
Rule 87: 1214594727, Class:  1, CF:0.85434, Len: 10, Fitness_tra: 771
Rule 88: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 11725d2c1c, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 90: b414237bb2, Class:  4, CF:0.916161, Len: 10, Fitness_tra: 0
Rule 91: 0000107300, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 10220d020e, Class:  4, CF:  1, Len:  6, Fitness_tra: 3
Rule 93: 15528111c2, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: 44b9065077, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 2452244b44, Class:  4, CF:0.538484, Len: 10, Fitness_tra: 0
Rule 97: bae2757b62, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 7147832414, Class:  2, CF:0.962434, Len: 10, Fitness_tra: 0
Rule 99: b821161197, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0004487e00, Class:  2, CF:  1, Len:  5, Fitness_tra: 3
------Current------
Miss_rate(tra)	:98.972
------Result------
Miss_rate(tra)	:98.972
Miss_rate(tst)	:95.9817
ARL				:9.54795

------Generation 7------
Rule  1: 0012000800, Class:  2, CF:  1, Len:  3, Fitness_tra: 1487
Rule  2: b000760000, Class:  4, CF:0.563224, Len:  3, Fitness_tra: 1292
Rule  3: 1214594727, Class:  1, CF:0.85434, Len: 10, Fitness_tra: 753
Rule  4: 7171131412, Class:  4, CF:0.936128, Len: 10, Fitness_tra: 748
Rule  5: b414cd7b47, Class:  2, CF:0.789214, Len: 10, Fitness_tra: -516
Rule  6: 18b2292b71, Class:  1, CF:0.907514, Len: 10, Fitness_tra: 158
Rule  7: b20ba3b004, Class:  4, CF:0.979451, Len:  7, Fitness_tra: 37
Rule  8: b121161124, Class:  4, CF:0.99909, Len: 10, Fitness_tra: 19
Rule  9: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 28
Rule 10: 1814117b11, Class:  1, CF:0.808374, Len: 10, Fitness_tra: 40
Rule 11: ca14851a61, Class:  3, CF:  1, Len: 10, Fitness_tra: 7
Rule 12: 49c181b451, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 0004487e00, Class:  2, CF:  1, Len:  5, Fitness_tra: 3
Rule 14: 10220d020e, Class:  4, CF:  1, Len:  6, Fitness_tra: 3
Rule 15: 7001045402, Class:  1, CF:  1, Len:  6, Fitness_tra: 3
Rule 16: 2d524111c2, Class:  4, CF:0.980768, Len: 10, Fitness_tra: 2
Rule 17: 15b4812172, Class:  1, CF:0.957475, Len: 10, Fitness_tra: 2
Rule 18: 2cb13a141b, Class:  4, CF:0.998564, Len: 10, Fitness_tra: 1
Rule 19: bb24487b22, Class:  2, CF:0.996806, Len: 10, Fitness_tra: 1
Rule 20: 2174ca1b41, Class:  3, CF:0.513941, Len: 10, Fitness_tra: 1
Rule 21: 27218a4414, Class:  3, CF:0.998354, Len: 10, Fitness_tra: 0
Rule 22: 71b123b7b7, Class:  4, CF:0.840577, Len: 10, Fitness_tra: 0
Rule 23: b2bb3342b7, Class:  4, CF:0.983929, Len: 10, Fitness_tra: 0
Rule 24: 12226627b4, Class:  4, CF:0.999857, Len: 10, Fitness_tra: 0
Rule 25: 44b7662b77, Class:  4, CF:0.999769, Len: 10, Fitness_tra: -12
Rule 26: b32b29b222, Class:  2, CF:0.999849, Len: 10, Fitness_tra: 0
Rule 27: 7bbb1f4417, Class:  4, CF:0.994199, Len: 10, Fitness_tra: 0
Rule 28: 1247564717, Class:  3, CF:0.948622, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b414832274, Class:  2, CF:0.846133, Len: 10, Fitness_tra: 0
Rule 32: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 122481eb04, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 34: 1c223f7127, Class:  4, CF:0.993297, Len: 10, Fitness_tra: 0
Rule 35: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2422892127, Class:  2, CF:0.95882, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: d2b2247b44, Class:  3, CF:  1, Len: 10, Fitness_tra: 4
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1224512bb2, Class:  1, CF:0.986391, Len: 10, Fitness_tra: 0
Rule 41: b2428521b2, Class:  1, CF:0.610504, Len: 10, Fitness_tra: 0
Rule 42: c112557311, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: 71245e2287, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 28279e4d11, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: b21116b7b4, Class:  4, CF:0.999293, Len: 10, Fitness_tra: 0
Rule 46: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1cb2ff1b77, Class:  4, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 48: b2b78ab271, Class:  1, CF:0.670678, Len: 10, Fitness_tra: 0
Rule 49: 41b253b772, Class:  2, CF:0.994783, Len: 10, Fitness_tra: 0
Rule 50: 427be31147, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 51: b17443712b, Class:  4, CF:0.728694, Len: 10, Fitness_tra: 0
Rule 52: ca52c5bee1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 42b2582722, Class:  2, CF:0.122931, Len: 10, Fitness_tra: 0
Rule 55: b821161197, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 4c44391915, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 7b71d61427, Class:  3, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 58: 47742e4b74, Class:  2, CF:0.91413, Len: 10, Fitness_tra: 0
Rule 59: 72271127b7, Class:  4, CF:0.785472, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2472184bb4, Class:  4, CF:0.0306519, Len: 10, Fitness_tra: 0
Rule 62: 2c442e2b14, Class:  1, CF:0.0262262, Len: 10, Fitness_tra: 0
Rule 63: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: b2776a1271, Class:  4, CF:0.998694, Len: 10, Fitness_tra: 0
Rule 66: 71b113b7b7, Class:  4, CF:0.947592, Len: 10, Fitness_tra: 0
Rule 67: 12b4914b24, Class:  1, CF:0.953443, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 12cbd3b539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 28bd61b224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1412da7b12, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 48213378d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 76: 4bb76f2722, Class:  4, CF:0.999965, Len: 10, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 7b1236744b, Class:  4, CF:0.99222, Len: 10, Fitness_tra: 0
Rule 79: 12223db47b, Class:  4, CF:0.277272, Len: 10, Fitness_tra: -95
Rule 80: 4c4b5d7744, Class:  2, CF:0.968866, Len: 10, Fitness_tra: 0
Rule 81: 7127e64221, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 1414d171bb, Class:  1, CF:0.499431, Len: 10, Fitness_tra: 27
Rule 83: 7417441b11, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b175184417, Class:  1, CF:0.99994, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7141212b47, Class:  2, CF:0.544523, Len: 10, Fitness_tra: -489
Rule 87: 242b8a424b, Class:  3, CF:0.324498, Len: 10, Fitness_tra: 0
Rule 88: 21c4917d51, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 89: 7b7181b474, Class:  2, CF:0.99979, Len: 10, Fitness_tra: 1351
Rule 90: 74b1134411, Class:  4, CF:0.924647, Len: 10, Fitness_tra: -489
Rule 91: 1247563717, Class:  3, CF:0.989137, Len: 10, Fitness_tra: 0
Rule 92: 4ae2757b62, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 15548111c2, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: b177631271, Class:  4, CF:0.997579, Len: 10, Fitness_tra: 0
Rule 95: b821161147, Class:  4, CF:0.999317, Len: 10, Fitness_tra: 51
Rule 96: 000488b4d0, Class:  2, CF:  1, Len:  6, Fitness_tra: 2
Rule 97: b7746e1274, Class:  4, CF:0.694431, Len: 10, Fitness_tra: -440
Rule 98: b2140122b4, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 8012eb0800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: b174cd7b41, Class:  2, CF:0.942317, Len: 10, Fitness_tra: -64
------Current------
Miss_rate(tra)	:98.9466
------Result------
Miss_rate(tra)	:98.9466
Miss_rate(tst)	:95.9817
ARL				:9.53333

------Generation 8------
Rule  1: 0012000800, Class:  2, CF:  1, Len:  3, Fitness_tra: 1487
Rule  2: b000760000, Class:  4, CF:0.563224, Len:  3, Fitness_tra: 1292
Rule  3: 1214594727, Class:  1, CF:0.85434, Len: 10, Fitness_tra: 753
Rule  4: 7171131412, Class:  4, CF:0.936128, Len: 10, Fitness_tra: 748
Rule  5: b414cd7b47, Class:  2, CF:0.789214, Len: 10, Fitness_tra: -516
Rule  6: 18b2292b71, Class:  1, CF:0.907514, Len: 10, Fitness_tra: 158
Rule  7: b20ba3b004, Class:  4, CF:0.979451, Len:  7, Fitness_tra: 37
Rule  8: b121161124, Class:  4, CF:0.99909, Len: 10, Fitness_tra: 19
Rule  9: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 28
Rule 10: 1814117b11, Class:  1, CF:0.808374, Len: 10, Fitness_tra: 40
Rule 11: ca14851a61, Class:  3, CF:  1, Len: 10, Fitness_tra: 7
Rule 12: 49c181b451, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 0004487e00, Class:  2, CF:  1, Len:  5, Fitness_tra: 3
Rule 14: 10220d020e, Class:  4, CF:  1, Len:  6, Fitness_tra: 3
Rule 15: 7001045402, Class:  1, CF:  1, Len:  6, Fitness_tra: 3
Rule 16: 2d524111c2, Class:  4, CF:0.980768, Len: 10, Fitness_tra: 2
Rule 17: 15b4812172, Class:  1, CF:0.957475, Len: 10, Fitness_tra: 2
Rule 18: 2cb13a141b, Class:  4, CF:0.998564, Len: 10, Fitness_tra: 1
Rule 19: bb24487b22, Class:  2, CF:0.996806, Len: 10, Fitness_tra: 1
Rule 20: 2174ca1b41, Class:  3, CF:0.513941, Len: 10, Fitness_tra: 1
Rule 21: 27218a4414, Class:  3, CF:0.998354, Len: 10, Fitness_tra: 0
Rule 22: 71b123b7b7, Class:  4, CF:0.840577, Len: 10, Fitness_tra: 0
Rule 23: b2bb3342b7, Class:  4, CF:0.983929, Len: 10, Fitness_tra: 0
Rule 24: 12226627b4, Class:  4, CF:0.999857, Len: 10, Fitness_tra: 0
Rule 25: 44b7662b77, Class:  4, CF:0.999769, Len: 10, Fitness_tra: -12
Rule 26: b32b29b222, Class:  2, CF:0.999849, Len: 10, Fitness_tra: 0
Rule 27: 7bbb1f4417, Class:  4, CF:0.994199, Len: 10, Fitness_tra: 0
Rule 28: 1247564717, Class:  3, CF:0.948622, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b414832274, Class:  2, CF:0.846133, Len: 10, Fitness_tra: 0
Rule 32: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 122481eb04, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 34: 1c223f7127, Class:  4, CF:0.993297, Len: 10, Fitness_tra: 0
Rule 35: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2422892127, Class:  2, CF:0.95882, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: d2b2247b44, Class:  3, CF:  1, Len: 10, Fitness_tra: 4
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1224512bb2, Class:  1, CF:0.986391, Len: 10, Fitness_tra: 0
Rule 41: b2428521b2, Class:  1, CF:0.610504, Len: 10, Fitness_tra: 0
Rule 42: c112557311, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: 71245e2287, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 28279e4d11, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: b21116b7b4, Class:  4, CF:0.999293, Len: 10, Fitness_tra: 0
Rule 46: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1cb2ff1b77, Class:  4, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 48: b2b78ab271, Class:  1, CF:0.670678, Len: 10, Fitness_tra: 0
Rule 49: 41b253b772, Class:  2, CF:0.994783, Len: 10, Fitness_tra: 0
Rule 50: 427be31147, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 51: b17443712b, Class:  4, CF:0.728694, Len: 10, Fitness_tra: 0
Rule 52: ca52c5bee1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 42b2582722, Class:  2, CF:0.122931, Len: 10, Fitness_tra: 0
Rule 55: b821161197, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 4c44391915, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 7b71d61427, Class:  3, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 58: 47742e4b74, Class:  2, CF:0.91413, Len: 10, Fitness_tra: 0
Rule 59: 72271127b7, Class:  4, CF:0.785472, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2472184bb4, Class:  4, CF:0.0306519, Len: 10, Fitness_tra: 0
Rule 62: 2c442e2b14, Class:  1, CF:0.0262262, Len: 10, Fitness_tra: 0
Rule 63: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: b2776a1271, Class:  4, CF:0.998694, Len: 10, Fitness_tra: 0
Rule 66: 71b113b7b7, Class:  4, CF:0.947592, Len: 10, Fitness_tra: 0
Rule 67: 12b4914b24, Class:  1, CF:0.953443, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 12cbd3b539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 28bd61b224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1412da7b12, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 48213378d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 76: 4bb76f2722, Class:  4, CF:0.999965, Len: 10, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 7b1236744b, Class:  4, CF:0.99222, Len: 10, Fitness_tra: 0
Rule 79: 12223db47b, Class:  4, CF:0.277272, Len: 10, Fitness_tra: -95
Rule 80: 4c4b5d7744, Class:  2, CF:0.968866, Len: 10, Fitness_tra: 0
Rule 81: 7127e64221, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 1414d171bb, Class:  1, CF:0.499431, Len: 10, Fitness_tra: 27
Rule 83: 7417441b11, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b175184417, Class:  1, CF:0.99994, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7141212b47, Class:  2, CF:0.544523, Len: 10, Fitness_tra: -489
Rule 87: 242b8a424b, Class:  3, CF:0.324498, Len: 10, Fitness_tra: 0
Rule 88: 21c4917d51, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 89: 7b7181b474, Class:  2, CF:0.99979, Len: 10, Fitness_tra: 1351
Rule 90: 74b1134411, Class:  4, CF:0.924647, Len: 10, Fitness_tra: -489
Rule 91: 1247563717, Class:  3, CF:0.989137, Len: 10, Fitness_tra: 0
Rule 92: 4ae2757b62, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 15548111c2, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: b177631271, Class:  4, CF:0.997579, Len: 10, Fitness_tra: 0
Rule 95: b821161147, Class:  4, CF:0.999317, Len: 10, Fitness_tra: 51
Rule 96: 000488b4d0, Class:  2, CF:  1, Len:  6, Fitness_tra: 2
Rule 97: b7746e1274, Class:  4, CF:0.694431, Len: 10, Fitness_tra: -440
Rule 98: b2140122b4, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 8012eb0800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: b174cd7b41, Class:  2, CF:0.942317, Len: 10, Fitness_tra: -64
------Current------
Miss_rate(tra)	:98.9466
------Result------
Miss_rate(tra)	:98.9466
Miss_rate(tst)	:95.9817
ARL				:9.53333

------Generation 9------
Rule  1: 0012000800, Class:  2, CF:  1, Len:  3, Fitness_tra: 1477
Rule  2: 7b7181b474, Class:  2, CF:0.99979, Len: 10, Fitness_tra: 574
Rule  3: b000760000, Class:  4, CF:0.563224, Len:  3, Fitness_tra: -79
Rule  4: 1214594727, Class:  1, CF:0.85434, Len: 10, Fitness_tra: 773
Rule  5: 7171131412, Class:  4, CF:0.936128, Len: 10, Fitness_tra: 409
Rule  6: 18b2292b71, Class:  1, CF:0.907514, Len: 10, Fitness_tra: 158
Rule  7: b821161147, Class:  4, CF:0.999317, Len: 10, Fitness_tra: 2
Rule  8: 1814117b11, Class:  1, CF:0.808374, Len: 10, Fitness_tra: 179
Rule  9: b20ba3b004, Class:  4, CF:0.979451, Len:  7, Fitness_tra: 41
Rule 10: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 29
Rule 11: 1414d171bb, Class:  1, CF:0.499431, Len: 10, Fitness_tra: 233
Rule 12: b121161124, Class:  4, CF:0.99909, Len: 10, Fitness_tra: 0
Rule 13: ca14851a61, Class:  3, CF:  1, Len: 10, Fitness_tra: 7
Rule 14: d2b2247b44, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 15: 0004487e00, Class:  2, CF:  1, Len:  5, Fitness_tra: 3
Rule 16: 7001045402, Class:  1, CF:  1, Len:  6, Fitness_tra: 3
Rule 17: 10220d020e, Class:  4, CF:  1, Len:  6, Fitness_tra: 3
Rule 18: 2d524111c2, Class:  4, CF:0.980768, Len: 10, Fitness_tra: 2
Rule 19: 000488b4d0, Class:  2, CF:  1, Len:  6, Fitness_tra: 12
Rule 20: 15b4812172, Class:  1, CF:0.957475, Len: 10, Fitness_tra: 2
Rule 21: bb24487b22, Class:  2, CF:0.996806, Len: 10, Fitness_tra: 1
Rule 22: 2cb13a141b, Class:  4, CF:0.998564, Len: 10, Fitness_tra: 0
Rule 23: 2174ca1b41, Class:  3, CF:0.513941, Len: 10, Fitness_tra: 0
Rule 24: 71b123b7b7, Class:  4, CF:0.840577, Len: 10, Fitness_tra: 0
Rule 25: 8012eb0800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: b32b29b222, Class:  2, CF:0.999849, Len: 10, Fitness_tra: 0
Rule 27: 7bbb1f4417, Class:  4, CF:0.994199, Len: 10, Fitness_tra: 0
Rule 28: 1247564717, Class:  3, CF:0.948622, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b414832274, Class:  2, CF:0.846133, Len: 10, Fitness_tra: 0
Rule 32: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 122481eb04, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 34: 1c223f7127, Class:  4, CF:0.993297, Len: 10, Fitness_tra: 0
Rule 35: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2422892127, Class:  2, CF:0.95882, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b2bb3342b7, Class:  4, CF:0.983929, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1224512bb2, Class:  1, CF:0.986391, Len: 10, Fitness_tra: 0
Rule 41: b2428521b2, Class:  1, CF:0.610504, Len: 10, Fitness_tra: 0
Rule 42: c112557311, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: 71245e2287, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 28279e4d11, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: b21116b7b4, Class:  4, CF:0.999293, Len: 10, Fitness_tra: 0
Rule 46: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1cb2ff1b77, Class:  4, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 48: b2b78ab271, Class:  1, CF:0.670678, Len: 10, Fitness_tra: 0
Rule 49: 41b253b772, Class:  2, CF:0.994783, Len: 10, Fitness_tra: 0
Rule 50: 427be31147, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 51: b17443712b, Class:  4, CF:0.728694, Len: 10, Fitness_tra: 0
Rule 52: ca52c5bee1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 42b2582722, Class:  2, CF:0.122931, Len: 10, Fitness_tra: 0
Rule 55: b821161197, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 4c44391915, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 7b71d61427, Class:  3, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 58: 47742e4b74, Class:  2, CF:0.91413, Len: 10, Fitness_tra: 0
Rule 59: 72271127b7, Class:  4, CF:0.785472, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2472184bb4, Class:  4, CF:0.0306519, Len: 10, Fitness_tra: 0
