------Generation 0------
Rule  1: 99a14c125115315555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:41.1661
------Result------
Miss_rate(tra)	:41.1661
Miss_rate(tst)	:42.3529
ARL				:7.23214

------Generation 6------
Rule  1: 000000000000000300, Class:  0, CF:0.160912, Len:  1, Fitness_tra: 121
Rule  2: 000000800000000000, Class:  1, CF:0.384115, Len:  1, Fitness_tra: 78
Rule  3: d00000000000000000, Class:  1, CF:0.407795, Len:  1, Fitness_tra: 60
Rule  4: 000000003000000002, Class:  0, CF:0.214102, Len:  2, Fitness_tra: 34
Rule  5: 0000c0000000000000, Class:  0, CF:0.860127, Len:  1, Fitness_tra: 17
Rule  6: 000000000000000e00, Class:  1, CF:0.519183, Len:  1, Fitness_tra: 11
Rule  7: 00900000000000000e, Class:  1, CF:0.766807, Len:  2, Fitness_tra: 8
Rule  8: 000000002000000002, Class:  1, CF:0.30833, Len:  2, Fitness_tra: 8
Rule  9: 000000000000050000, Class:  0, CF:  1, Len:  1, Fitness_tra: 4
Rule 10: 0000000000000000d0, Class:  0, CF:0.102651, Len:  1, Fitness_tra: 4
Rule 11: 03000000000000d000, Class:  1, CF:0.134496, Len:  2, Fitness_tra: 5
Rule 12: c00000000000000000, Class:  0, CF:0.0512245, Len:  1, Fitness_tra: 2
Rule 13: 009000000000300000, Class:  1, CF:0.492338, Len:  2, Fitness_tra: 2
Rule 14: 300200000000000000, Class:  0, CF:0.234352, Len:  2, Fitness_tra: 1
Rule 15: 000070000000007000, Class:  0, CF:0.0839416, Len:  2, Fitness_tra: 2
Rule 16: 00000c000000000005, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 17: 000000850000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 18: 005000000000080000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 19: 182081001000800112, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 21112b891218111212, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 228c22294221b42111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 000000000000400000, Class:  0, CF:0.00250847, Len:  1, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 18e2225c8818541811, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 2d52141941111c1142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13184c925151141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 25112b451512118411, Class:  1, CF:0.545093, Len: 18, Fitness_tra: 0
Rule 29: 99a14c125115315555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000600000002, Class:  1, CF:0.0887387, Len:  2, Fitness_tra: 0
Rule 31: 2154415dc528111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 182c214111c1822112, Class:  1, CF:0.542587, Len: 18, Fitness_tra: 0
Rule 33: 81d227814182221115, Class:  1, CF:0.78707, Len: 18, Fitness_tra: 0
Rule 34: 11681114d3d35c5c55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 133221179191322211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00c700000000008200, Class:  0, CF:0.0831423, Len:  4, Fitness_tra: 0
Rule 37: 003070500000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 38: 11e88221815587185d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 225824151111122251, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 00c000b0b07b400d88, Class:  1, CF:0.397558, Len:  9, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: d182111118c42c4122, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 43: 5111bb2d81c4881c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 00050b005000000000, Class:  1, CF:0.012236, Len:  3, Fitness_tra: 0
Rule 45: 0d00c0000000d00000, Class:  0, CF:0.317474, Len:  3, Fitness_tra: 0
Rule 46: 1d12279815255c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 93381112119e1115c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: d59114d21315115439, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: e13d24111393142983, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 849c1b151c12177111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: e13dc2e43151912111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 59a8123c3581321821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11274b2eb224482222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1111223c3115143dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 9115115111d9912111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 13652292d559122113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5851122141c7822413, Class:  0, CF:0.651646, Len: 18, Fitness_tra: 0
Rule 59: 0000000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 9d32c232d1d1315815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: c111411dc121811472, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 62: 00d00b000000dc00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: ed61cc3132dd525159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 111221111d21227111, Class:  0, CF:0.663817, Len: 18, Fitness_tra: 0
Rule 65: 15312c5815d1312cdd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 3931c15cd11d112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1458c1252221717113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 9118121159d5122821, Class:  1, CF:0.833406, Len: 18, Fitness_tra: 0
Rule 70: 1d24222121811122c2, Class:  1, CF:0.73953, Len: 18, Fitness_tra: 0
Rule 71: 1e611c18d9dd315485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1111271115c15c1151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 00d000490007000460, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1151128d2124221821, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 75: 148cc4cdc8c2c111d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 191d42979e19127125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 116d123151d9e21551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 8c0c7000c000007000, Class:  1, CF:0.365808, Len:  6, Fitness_tra: 0
Rule 79: e13111113911971281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 531d129451d5122251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e9f5421491111411d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1331119739d5e23c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000c000000008036, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: e00000000000000000, Class:  1, CF:0.746507, Len:  1, Fitness_tra: 12
Rule 87: 1884b7c52222c8158c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 600000000300000000, Class:  0, CF:0.199463, Len:  2, Fitness_tra: -2
Rule 90: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 25582119182c522111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c00200000000000000, Class:  1, CF:0.00510893, Len:  2, Fitness_tra: 0
Rule 93: 201009000000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 94: 008d020e5100e0e451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 004000002000800002, Class:  1, CF:0.246473, Len:  4, Fitness_tra: 0
Rule 97: 180220008028500010, Class:  1, CF:0.255706, Len:  9, Fitness_tra: 0
Rule 98: 228022890000002001, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 99: 9000c202dad0b10875, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 9d321112d1d3595c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:41.1661
------Result------
Miss_rate(tra)	:41.1661
Miss_rate(tst)	:42.3529
ARL				:7.23214

------Generation 7------
Rule  1: 000000000000000300, Class:  0, CF:0.160912, Len:  1, Fitness_tra: 121
Rule  2: 000000800000000000, Class:  1, CF:0.384115, Len:  1, Fitness_tra: 78
Rule  3: d00000000000000000, Class:  1, CF:0.407795, Len:  1, Fitness_tra: 60
Rule  4: 000000003000000002, Class:  0, CF:0.214102, Len:  2, Fitness_tra: 34
Rule  5: 0000c0000000000000, Class:  0, CF:0.860127, Len:  1, Fitness_tra: 17
Rule  6: 000000000000000e00, Class:  1, CF:0.519183, Len:  1, Fitness_tra: 11
Rule  7: 00900000000000000e, Class:  1, CF:0.766807, Len:  2, Fitness_tra: 8
Rule  8: 000000002000000002, Class:  1, CF:0.30833, Len:  2, Fitness_tra: 8
Rule  9: 000000000000050000, Class:  0, CF:  1, Len:  1, Fitness_tra: 4
Rule 10: 0000000000000000d0, Class:  0, CF:0.102651, Len:  1, Fitness_tra: 4
Rule 11: 03000000000000d000, Class:  1, CF:0.134496, Len:  2, Fitness_tra: 5
Rule 12: c00000000000000000, Class:  0, CF:0.0512245, Len:  1, Fitness_tra: 2
Rule 13: 009000000000300000, Class:  1, CF:0.492338, Len:  2, Fitness_tra: 2
Rule 14: 300200000000000000, Class:  0, CF:0.234352, Len:  2, Fitness_tra: 1
Rule 15: 000070000000007000, Class:  0, CF:0.0839416, Len:  2, Fitness_tra: 2
Rule 16: 00000c000000000005, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 17: 000000850000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 18: 005000000000080000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 19: 182081001000800112, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 21112b891218111212, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 228c22294221b42111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 000000000000400000, Class:  0, CF:0.00250847, Len:  1, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 18e2225c8818541811, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 2d52141941111c1142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13184c925151141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 25112b451512118411, Class:  1, CF:0.545093, Len: 18, Fitness_tra: 0
Rule 29: 99a14c125115315555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000600000002, Class:  1, CF:0.0887387, Len:  2, Fitness_tra: 0
Rule 31: 2154415dc528111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 182c214111c1822112, Class:  1, CF:0.542587, Len: 18, Fitness_tra: 0
Rule 33: 81d227814182221115, Class:  1, CF:0.78707, Len: 18, Fitness_tra: 0
Rule 34: 11681114d3d35c5c55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 133221179191322211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00c700000000008200, Class:  0, CF:0.0831423, Len:  4, Fitness_tra: 0
Rule 37: 003070500000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 38: 11e88221815587185d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 225824151111122251, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 00c000b0b07b400d88, Class:  1, CF:0.397558, Len:  9, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: d182111118c42c4122, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 43: 5111bb2d81c4881c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 00050b005000000000, Class:  1, CF:0.012236, Len:  3, Fitness_tra: 0
Rule 45: 0d00c0000000d00000, Class:  0, CF:0.317474, Len:  3, Fitness_tra: 0
Rule 46: 1d12279815255c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 93381112119e1115c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: d59114d21315115439, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: e13d24111393142983, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 849c1b151c12177111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: e13dc2e43151912111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 59a8123c3581321821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11274b2eb224482222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1111223c3115143dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 9115115111d9912111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 13652292d559122113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5851122141c7822413, Class:  0, CF:0.651646, Len: 18, Fitness_tra: 0
Rule 59: 0000000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 9d32c232d1d1315815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: c111411dc121811472, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 62: 00d00b000000dc00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: ed61cc3132dd525159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 111221111d21227111, Class:  0, CF:0.663817, Len: 18, Fitness_tra: 0
Rule 65: 15312c5815d1312cdd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 3931c15cd11d112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1458c1252221717113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 9118121159d5122821, Class:  1, CF:0.833406, Len: 18, Fitness_tra: 0
Rule 70: 1d24222121811122c2, Class:  1, CF:0.73953, Len: 18, Fitness_tra: 0
Rule 71: 1e611c18d9dd315485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1111271115c15c1151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 00d000490007000460, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1151128d2124221821, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 75: 148cc4cdc8c2c111d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 191d42979e19127125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 116d123151d9e21551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 8c0c7000c000007000, Class:  1, CF:0.365808, Len:  6, Fitness_tra: 0
Rule 79: e13111113911971281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 531d129451d5122251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e9f5421491111411d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1331119739d5e23c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000c000000008036, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: e00000000000000000, Class:  1, CF:0.746507, Len:  1, Fitness_tra: 12
Rule 87: 1884b7c52222c8158c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 600000000300000000, Class:  0, CF:0.199463, Len:  2, Fitness_tra: -2
Rule 90: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 25582119182c522111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c00200000000000000, Class:  1, CF:0.00510893, Len:  2, Fitness_tra: 0
Rule 93: 201009000000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 94: 008d020e5100e0e451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 004000002000800002, Class:  1, CF:0.246473, Len:  4, Fitness_tra: 0
Rule 97: 180220008028500010, Class:  1, CF:0.255706, Len:  9, Fitness_tra: 0
Rule 98: 228022890000002001, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 99: 9000c202dad0b10875, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 9d321112d1d3595c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:41.1661
------Result------
Miss_rate(tra)	:41.1661
Miss_rate(tst)	:42.3529
ARL				:7.23214

------Generation 8------
Rule  1: 000000000000000300, Class:  0, CF:0.160912, Len:  1, Fitness_tra: 121
Rule  2: 000000800000000000, Class:  1, CF:0.384115, Len:  1, Fitness_tra: 78
Rule  3: d00000000000000000, Class:  1, CF:0.407795, Len:  1, Fitness_tra: 60
Rule  4: 000000003000000002, Class:  0, CF:0.214102, Len:  2, Fitness_tra: 34
Rule  5: 0000c0000000000000, Class:  0, CF:0.860127, Len:  1, Fitness_tra: 17
Rule  6: 000000000000000e00, Class:  1, CF:0.519183, Len:  1, Fitness_tra: 11
Rule  7: 00900000000000000e, Class:  1, CF:0.766807, Len:  2, Fitness_tra: 8
Rule  8: 000000002000000002, Class:  1, CF:0.30833, Len:  2, Fitness_tra: 8
Rule  9: 000000000000050000, Class:  0, CF:  1, Len:  1, Fitness_tra: 4
Rule 10: 0000000000000000d0, Class:  0, CF:0.102651, Len:  1, Fitness_tra: 4
Rule 11: 03000000000000d000, Class:  1, CF:0.134496, Len:  2, Fitness_tra: 5
Rule 12: c00000000000000000, Class:  0, CF:0.0512245, Len:  1, Fitness_tra: 2
Rule 13: 009000000000300000, Class:  1, CF:0.492338, Len:  2, Fitness_tra: 2
Rule 14: 300200000000000000, Class:  0, CF:0.234352, Len:  2, Fitness_tra: 1
Rule 15: 000070000000007000, Class:  0, CF:0.0839416, Len:  2, Fitness_tra: 2
Rule 16: 00000c000000000005, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 17: 000000850000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 18: 005000000000080000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 19: 182081001000800112, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 21112b891218111212, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 228c22294221b42111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 000000000000400000, Class:  0, CF:0.00250847, Len:  1, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 18e2225c8818541811, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 2d52141941111c1142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13184c925151141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 25112b451512118411, Class:  1, CF:0.545093, Len: 18, Fitness_tra: 0
Rule 29: 99a14c125115315555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000600000002, Class:  1, CF:0.0887387, Len:  2, Fitness_tra: 0
Rule 31: 2154415dc528111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 182c214111c1822112, Class:  1, CF:0.542587, Len: 18, Fitness_tra: 0
Rule 33: 81d227814182221115, Class:  1, CF:0.78707, Len: 18, Fitness_tra: 0
Rule 34: 11681114d3d35c5c55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 133221179191322211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00c700000000008200, Class:  0, CF:0.0831423, Len:  4, Fitness_tra: 0
Rule 37: 003070500000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 38: 11e88221815587185d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 225824151111122251, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 00c000b0b07b400d88, Class:  1, CF:0.397558, Len:  9, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: d182111118c42c4122, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 43: 5111bb2d81c4881c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 00050b005000000000, Class:  1, CF:0.012236, Len:  3, Fitness_tra: 0
Rule 45: 0d00c0000000d00000, Class:  0, CF:0.317474, Len:  3, Fitness_tra: 0
Rule 46: 1d12279815255c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 93381112119e1115c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: d59114d21315115439, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: e13d24111393142983, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 849c1b151c12177111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: e13dc2e43151912111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 59a8123c3581321821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11274b2eb224482222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1111223c3115143dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 9115115111d9912111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 13652292d559122113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5851122141c7822413, Class:  0, CF:0.651646, Len: 18, Fitness_tra: 0
Rule 59: 0000000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 9d32c232d1d1315815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: c111411dc121811472, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 62: 00d00b000000dc00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: ed61cc3132dd525159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 111221111d21227111, Class:  0, CF:0.663817, Len: 18, Fitness_tra: 0
Rule 65: 15312c5815d1312cdd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 3931c15cd11d112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1458c1252221717113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 9118121159d5122821, Class:  1, CF:0.833406, Len: 18, Fitness_tra: 0
Rule 70: 1d24222121811122c2, Class:  1, CF:0.73953, Len: 18, Fitness_tra: 0
Rule 71: 1e611c18d9dd315485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1111271115c15c1151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 00d000490007000460, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1151128d2124221821, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 75: 148cc4cdc8c2c111d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 191d42979e19127125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 116d123151d9e21551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 8c0c7000c000007000, Class:  1, CF:0.365808, Len:  6, Fitness_tra: 0
Rule 79: e13111113911971281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 531d129451d5122251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e9f5421491111411d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1331119739d5e23c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000c000000008036, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: e00000000000000000, Class:  1, CF:0.746507, Len:  1, Fitness_tra: 12
Rule 87: 1884b7c52222c8158c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 600000000300000000, Class:  0, CF:0.199463, Len:  2, Fitness_tra: -2
Rule 90: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 25582119182c522111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c00200000000000000, Class:  1, CF:0.00510893, Len:  2, Fitness_tra: 0
Rule 93: 201009000000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 94: 008d020e5100e0e451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 004000002000800002, Class:  1, CF:0.246473, Len:  4, Fitness_tra: 0
Rule 97: 180220008028500010, Class:  1, CF:0.255706, Len:  9, Fitness_tra: 0
Rule 98: 228022890000002001, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 99: 9000c202dad0b10875, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 9d321112d1d3595c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:41.1661
------Result------
Miss_rate(tra)	:41.1661
Miss_rate(tst)	:42.3529
ARL				:7.23214

