------Generation 0------
Rule  1: c1314c8d19c11c81c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 481141c9c221122112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 00200b000850000000, Class:  0, CF:0.439504, Len:  4, Fitness_tra: 0
Rule 50: 8111c7c58124111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000007e077b004000, Class:  0, CF:0.396259, Len:  6, Fitness_tra: 0
Rule 53: c41c4b8922c4244111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 211411252221142212, Class:  1, CF:0.149584, Len: 18, Fitness_tra: 0
Rule 55: 5c12772522c2811c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 3131419c1953971913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 12c227714414221211, Class:  0, CF:0.453517, Len: 18, Fitness_tra: 0
Rule 59: 21d2c211112c122125, Class:  0, CF:0.45503, Len: 18, Fitness_tra: 0
Rule 60: 81512218c1c2212593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 8552cc15c3c211152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2d541bc912125c21c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 88114b71181b241111, Class:  0, CF:0.799602, Len: 18, Fitness_tra: 0
Rule 64: 00f000002000000000, Class:  1, CF:0.0962556, Len:  2, Fitness_tra: 0
Rule 65: 16311c949133911181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1e3811e299d1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 913d1c32395d119183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 25522b1dc24c512221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000580000000000099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00c0000007b0080804, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 71: 9e1221e2912d529d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 009000058000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 73: 9e122ce49edd929dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 118111134c44121111, Class:  0, CF:0.0929593, Len: 18, Fitness_tra: 0
Rule 75: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 0
Rule 76: 11d521c2482c2111d5, Class:  1, CF:0.11053, Len: 18, Fitness_tra: 0
Rule 77: 15a5c151d12d122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 6000080c000000000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 21571229411c152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00d060111020000000, Class:  1, CF:0.254146, Len:  6, Fitness_tra: 0
Rule 81: 93114b3711166c1212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 25111cc5c5822128c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 13f112941e51525119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 51d271854211211531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000900, Class:  1, CF:0.356123, Len:  1, Fitness_tra: 5
Rule 86: 050000000030085000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 040b0070b4bb400000, Class:  0, CF:0.382708, Len:  8, Fitness_tra: 49
Rule 88: 00f000003000000000, Class:  0, CF:0.136005, Len:  2, Fitness_tra: 0
Rule 89: 0a00000b0000002000, Class:  1, CF:0.526339, Len:  3, Fitness_tra: 0
Rule 90: 2131115511128251d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 50d0100087be080105, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 61070220401c102403, Class:  0, CF:  1, Len: 12, Fitness_tra: 0
Rule 93: 002050000000000000, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 94: 1091070108201c2161, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 95: 0000000e070b00c000, Class:  0, CF:0.524959, Len:  4, Fitness_tra: 0
Rule 96: 00000007077b00d000, Class:  0, CF:0.0778225, Len:  5, Fitness_tra: 0
Rule 97: 5e5517514822922171, Class:  0, CF:0.928271, Len: 18, Fitness_tra: 0
Rule 98: 05e00100dd00012111, Class:  1, CF:0.0132688, Len: 10, Fitness_tra: 0
Rule 99: 000580000000000099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1505cd510000120c01, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:49.8236
------Result------
Miss_rate(tra)	:49.8236
Miss_rate(tst)	:40.4762
ARL				:5.81034

------Generation 8------
Rule  1: d00000000000000000, Class:  1, CF:0.351775, Len:  1, Fitness_tra: 110
Rule  2: 00000000000000000a, Class:  0, CF:0.515306, Len:  1, Fitness_tra: 68
Rule  3: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 39
Rule  4: 000000000000000c00, Class:  1, CF:0.185765, Len:  1, Fitness_tra: 53
Rule  5: 040b0070b4bb400000, Class:  0, CF:0.382708, Len:  8, Fitness_tra: 34
Rule  6: 000000000000000d00, Class:  1, CF:0.314055, Len:  1, Fitness_tra: 23
Rule  7: 800000004000000003, Class:  0, CF:0.832011, Len:  3, Fitness_tra: 17
Rule  8: 00e00000200000d000, Class:  1, CF:0.817047, Len:  3, Fitness_tra: 14
Rule  9: 000000002000000002, Class:  1, CF:0.294253, Len:  2, Fitness_tra: 15
Rule 10: 000000000000c00000, Class:  0, CF:0.0624128, Len:  1, Fitness_tra: 0
Rule 11: 5000000b000000000d, Class:  1, CF:0.634472, Len:  3, Fitness_tra: 8
Rule 12: 000000000000000900, Class:  1, CF:0.356123, Len:  1, Fitness_tra: 5
Rule 13: 00e000008d00002000, Class:  1, CF:0.579533, Len:  4, Fitness_tra: 4
Rule 14: 090000000500000003, Class:  0, CF:0.976892, Len:  3, Fitness_tra: 3
Rule 15: 002050000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 16: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 2
Rule 17: 000000000000080000, Class:  0, CF:0.891892, Len:  1, Fitness_tra: 1
Rule 18: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 19: 000000000000000520, Class:  1, CF:0.344487, Len:  2, Fitness_tra: 0
Rule 20: 00a040000080000003, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 21: 21c2b441818c252241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51e121521121522185, Class:  1, CF:0.939374, Len: 18, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: cd14142d8882512128, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 02000c00404000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5ea5223c191de23c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1914141dc1c11124c5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 000d00d0d000000000, Class:  0, CF:0.0978641, Len:  3, Fitness_tra: 0
Rule 29: 116242921159942151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0e000000e00e0700c0, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 00f070000000000000, Class:  0, CF:0.0883789, Len:  2, Fitness_tra: 0
Rule 32: c1147223112255c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: ed38115cd111122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 182747814c111c51c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2d124c1d211c1c4125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 51d51b5c8528141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 39611431111534d88d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 363dc212931e5721c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1d1581582151124151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 551541d8518d142155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a112219cd5d35b355e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 46: 2882712d112c181842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 481141c9c221122112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 00200b000850000000, Class:  0, CF:0.439504, Len:  4, Fitness_tra: 0
Rule 50: 8111c7c58124111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000007e077b004000, Class:  0, CF:0.396259, Len:  6, Fitness_tra: 0
Rule 53: c41c4b8922c4244111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 211411252221142212, Class:  1, CF:0.149584, Len: 18, Fitness_tra: 0
Rule 55: 5c12772522c2811c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 3131419c1953971913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 12c227714414221211, Class:  0, CF:0.453517, Len: 18, Fitness_tra: 0
Rule 59: 21d2c211112c122125, Class:  0, CF:0.45503, Len: 18, Fitness_tra: 0
Rule 60: 81512218c1c2212593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 8552cc15c3c211152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2d541bc912125c21c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 88114b71181b241111, Class:  0, CF:0.799602, Len: 18, Fitness_tra: 0
Rule 64: 00f000002000000000, Class:  1, CF:0.0962556, Len:  2, Fitness_tra: 0
Rule 65: 16311c949133911181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1e3811e299d1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 913d1c32395d119183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 25522b1dc24c512221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000580000000000099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00c0000007b0080804, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 71: 9e1221e2912d529d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 009000058000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 73: 9e122ce49edd929dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 118111134c44121111, Class:  0, CF:0.0929593, Len: 18, Fitness_tra: 0
Rule 75: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 0
Rule 76: 11d521c2482c2111d5, Class:  1, CF:0.11053, Len: 18, Fitness_tra: 0
Rule 77: 15a5c151d12d122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 6000080c000000000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 21571229411c152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00d060111020000000, Class:  1, CF:0.254146, Len:  6, Fitness_tra: 0
Rule 81: 5c181115c1212241e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 4000000e0000000000, Class:  0, CF:0.451787, Len:  2, Fitness_tra: 12
Rule 83: 1e1d1cece151d29113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000500025800000000, Class:  1, CF:0.146818, Len:  4, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000070005000000000, Class:  1, CF:0.256053, Len:  2, Fitness_tra: 0
Rule 90: d000c000c000000400, Class:  0, CF:0.324162, Len:  4, Fitness_tra: 0
Rule 91: 018001034c04121111, Class:  0, CF:0.133301, Len: 13, Fitness_tra: 0
Rule 92: 015712208000050c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 000000040000000000, Class:  0, CF:0.0762365, Len:  1, Fitness_tra: 53
Rule 94: e03a119cd151971113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 303b0210040e502103, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 10040d100000012000, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 97: 0be000c9c001122100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 360dc0829008502003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: dea0203c0d10e20029, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 92102000060d990dd0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:48.5891
------Result------
Miss_rate(tra)	:48.5891
Miss_rate(tst)	:38.0952
ARL				:5.41818

------Generation 9------
Rule  1: d00000000000000000, Class:  1, CF:0.351775, Len:  1, Fitness_tra: 110
Rule  2: 00000000000000000a, Class:  0, CF:0.515306, Len:  1, Fitness_tra: 68
Rule  3: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 39
Rule  4: 000000000000000c00, Class:  1, CF:0.185765, Len:  1, Fitness_tra: 53
Rule  5: 040b0070b4bb400000, Class:  0, CF:0.382708, Len:  8, Fitness_tra: 34
Rule  6: 000000000000000d00, Class:  1, CF:0.314055, Len:  1, Fitness_tra: 23
Rule  7: 800000004000000003, Class:  0, CF:0.832011, Len:  3, Fitness_tra: 17
Rule  8: 00e00000200000d000, Class:  1, CF:0.817047, Len:  3, Fitness_tra: 14
Rule  9: 000000002000000002, Class:  1, CF:0.294253, Len:  2, Fitness_tra: 15
Rule 10: 000000000000c00000, Class:  0, CF:0.0624128, Len:  1, Fitness_tra: 0
Rule 11: 5000000b000000000d, Class:  1, CF:0.634472, Len:  3, Fitness_tra: 8
Rule 12: 000000000000000900, Class:  1, CF:0.356123, Len:  1, Fitness_tra: 5
Rule 13: 00e000008d00002000, Class:  1, CF:0.579533, Len:  4, Fitness_tra: 4
Rule 14: 090000000500000003, Class:  0, CF:0.976892, Len:  3, Fitness_tra: 3
Rule 15: 002050000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 16: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 2
Rule 17: 000000000000080000, Class:  0, CF:0.891892, Len:  1, Fitness_tra: 1
Rule 18: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 19: 000000000000000520, Class:  1, CF:0.344487, Len:  2, Fitness_tra: 0
Rule 20: 00a040000080000003, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 21: 21c2b441818c252241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51e121521121522185, Class:  1, CF:0.939374, Len: 18, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: cd14142d8882512128, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 02000c00404000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5ea5223c191de23c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1914141dc1c11124c5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 000d00d0d000000000, Class:  0, CF:0.0978641, Len:  3, Fitness_tra: 0
Rule 29: 116242921159942151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0e000000e00e0700c0, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 00f070000000000000, Class:  0, CF:0.0883789, Len:  2, Fitness_tra: 0
Rule 32: c1147223112255c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: ed38115cd111122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 182747814c111c51c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2d124c1d211c1c4125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 51d51b5c8528141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 39611431111534d88d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 363dc212931e5721c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1d1581582151124151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 551541d8518d142155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a112219cd5d35b355e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 46: 2882712d112c181842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 481141c9c221122112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 00200b000850000000, Class:  0, CF:0.439504, Len:  4, Fitness_tra: 0
Rule 50: 8111c7c58124111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000007e077b004000, Class:  0, CF:0.396259, Len:  6, Fitness_tra: 0
Rule 53: c41c4b8922c4244111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 211411252221142212, Class:  1, CF:0.149584, Len: 18, Fitness_tra: 0
Rule 55: 5c12772522c2811c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 3131419c1953971913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 12c227714414221211, Class:  0, CF:0.453517, Len: 18, Fitness_tra: 0
Rule 59: 21d2c211112c122125, Class:  0, CF:0.45503, Len: 18, Fitness_tra: 0
Rule 60: 81512218c1c2212593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 8552cc15c3c211152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2d541bc912125c21c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 88114b71181b241111, Class:  0, CF:0.799602, Len: 18, Fitness_tra: 0
Rule 64: 00f000002000000000, Class:  1, CF:0.0962556, Len:  2, Fitness_tra: 0
Rule 65: 16311c949133911181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1e3811e299d1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 913d1c32395d119183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 25522b1dc24c512221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000580000000000099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00c0000007b0080804, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 71: 9e1221e2912d529d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 009000058000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 73: 9e122ce49edd929dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 118111134c44121111, Class:  0, CF:0.0929593, Len: 18, Fitness_tra: 0
Rule 75: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 0
Rule 76: 11d521c2482c2111d5, Class:  1, CF:0.11053, Len: 18, Fitness_tra: 0
Rule 77: 15a5c151d12d122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 6000080c000000000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 21571229411c152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00d060111020000000, Class:  1, CF:0.254146, Len:  6, Fitness_tra: 0
Rule 81: 5c181115c1212241e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 4000000e0000000000, Class:  0, CF:0.451787, Len:  2, Fitness_tra: 12
Rule 83: 1e1d1cece151d29113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000500025800000000, Class:  1, CF:0.146818, Len:  4, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000070005000000000, Class:  1, CF:0.256053, Len:  2, Fitness_tra: 0
Rule 90: d000c000c000000400, Class:  0, CF:0.324162, Len:  4, Fitness_tra: 0
Rule 91: 018001034c04121111, Class:  0, CF:0.133301, Len: 13, Fitness_tra: 0
Rule 92: 015712208000050c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 000000040000000000, Class:  0, CF:0.0762365, Len:  1, Fitness_tra: 53
Rule 94: e03a119cd151971113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 303b0210040e502103, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 10040d100000012000, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 97: 0be000c9c001122100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 360dc0829008502003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: dea0203c0d10e20029, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 92102000060d990dd0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:48.5891
------Result------
Miss_rate(tra)	:48.5891
Miss_rate(tst)	:38.0952
ARL				:5.41818

------Generation 10------
Rule  1: d00000000000000000, Class:  1, CF:0.351775, Len:  1, Fitness_tra: 110
Rule  2: 00000000000000000a, Class:  0, CF:0.515306, Len:  1, Fitness_tra: 68
Rule  3: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 39
Rule  4: 000000000000000c00, Class:  1, CF:0.185765, Len:  1, Fitness_tra: 53
Rule  5: 040b0070b4bb400000, Class:  0, CF:0.382708, Len:  8, Fitness_tra: 34
Rule  6: 000000000000000d00, Class:  1, CF:0.314055, Len:  1, Fitness_tra: 23
Rule  7: 800000004000000003, Class:  0, CF:0.832011, Len:  3, Fitness_tra: 17
Rule  8: 00e00000200000d000, Class:  1, CF:0.817047, Len:  3, Fitness_tra: 14
Rule  9: 000000002000000002, Class:  1, CF:0.294253, Len:  2, Fitness_tra: 15
Rule 10: 000000000000c00000, Class:  0, CF:0.0624128, Len:  1, Fitness_tra: 0
Rule 11: 5000000b000000000d, Class:  1, CF:0.634472, Len:  3, Fitness_tra: 8
Rule 12: 000000000000000900, Class:  1, CF:0.356123, Len:  1, Fitness_tra: 5
Rule 13: 00e000008d00002000, Class:  1, CF:0.579533, Len:  4, Fitness_tra: 4
Rule 14: 090000000500000003, Class:  0, CF:0.976892, Len:  3, Fitness_tra: 3
Rule 15: 002050000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 16: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 2
Rule 17: 000000000000080000, Class:  0, CF:0.891892, Len:  1, Fitness_tra: 1
Rule 18: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 19: 000000000000000520, Class:  1, CF:0.344487, Len:  2, Fitness_tra: 0
Rule 20: 00a040000080000003, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 21: 21c2b441818c252241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51e121521121522185, Class:  1, CF:0.939374, Len: 18, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: cd14142d8882512128, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 02000c00404000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5ea5223c191de23c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1914141dc1c11124c5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 000d00d0d000000000, Class:  0, CF:0.0978641, Len:  3, Fitness_tra: 0
Rule 29: 116242921159942151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0e000000e00e0700c0, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 00f070000000000000, Class:  0, CF:0.0883789, Len:  2, Fitness_tra: 0
Rule 32: c1147223112255c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: ed38115cd111122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 182747814c111c51c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2d124c1d211c1c4125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 51d51b5c8528141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 39611431111534d88d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 363dc212931e5721c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1d1581582151124151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 551541d8518d142155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a112219cd5d35b355e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
