------Generation 0------
Rule  1: 29b2c97714, Class:  0, CF:0.490187, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 77723a2bb7, Class:  1, CF:0.999773, Len: 10, Fitness_tra: 0
Rule 51: 22245f1127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 42b222b21b, Class:  1, CF:0.908085, Len: 10, Fitness_tra: 0
Rule 53: 72b4217b72, Class:  1, CF:0.911128, Len: 10, Fitness_tra: 0
Rule 54: 1871c12114, Class:  1, CF:0.582758, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 19b55d72b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 24118a7b71, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 247b2c22b7, Class:  1, CF:0.825938, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 23bc13b142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b717df11b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 27272c4712, Class:  1, CF:0.843192, Len: 10, Fitness_tra: 0
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 7a7c184441, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 2174812b47, Class:  1, CF:0.790205, Len: 10, Fitness_tra: 0
Rule 67: 1b47752717, Class:  1, CF:0.498654, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1812c57727, Class:  0, CF:0.17571, Len: 10, Fitness_tra: 0
Rule 70: 7117434244, Class:  1, CF:0.980185, Len: 10, Fitness_tra: 0
Rule 71: 4427e6b4b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 42226f7224, Class:  1, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 74: 42118142b2, Class:  1, CF:0.855576, Len: 10, Fitness_tra: 0
Rule 75: 2c1b13b277, Class:  1, CF:0.979971, Len: 10, Fitness_tra: 0
Rule 76: 71b12374b7, Class:  1, CF:0.979322, Len: 10, Fitness_tra: 0
Rule 77: 27b41e472b, Class:  1, CF:0.938628, Len: 10, Fitness_tra: 0
Rule 78: 454751b127, Class:  1, CF:0.977731, Len: 10, Fitness_tra: 0
Rule 79: 717b137b42, Class:  1, CF:0.996977, Len: 10, Fitness_tra: 0
Rule 80: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 111b11142b, Class:  1, CF:0.420968, Len: 10, Fitness_tra: 0
Rule 82: 17b1ff2774, Class:  1, CF:0.999973, Len: 10, Fitness_tra: 0
Rule 83: 0000b00000, Class:  0, CF:0.496507, Len:  1, Fitness_tra: 2223
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 421b1f4424, Class:  1, CF:0.999655, Len: 10, Fitness_tra: 0
Rule 86: 714719127b, Class:  1, CF:0.724995, Len: 10, Fitness_tra: 2
Rule 87: bb226f4bb4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: 7214362714, Class:  1, CF:0.996039, Len: 10, Fitness_tra: 0
Rule 89: 2c12722b41, Class:  1, CF:0.538135, Len: 10, Fitness_tra: 0
Rule 90: 2214af72b1, Class:  1, CF:0.988653, Len: 10, Fitness_tra: 0
Rule 91: 716b1e7a4b, Class:  0, CF:0.0704985, Len: 10, Fitness_tra: 0
Rule 92: 111511b782, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 44276f7224, Class:  1, CF:0.999987, Len: 10, Fitness_tra: 0
Rule 94: 0704000700, Class:  1, CF:0.294662, Len:  3, Fitness_tra: 1167
Rule 95: c222357217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b717d8d1b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000d300, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 98: b2b26111b7, Class:  1, CF:0.692588, Len: 10, Fitness_tra: 0
Rule 99: 29b5597711, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:21.2573
------Result------
Miss_rate(tra)	:21.2573
Miss_rate(tst)	:9.87203
ARL				:8.375

------Generation 9------
Rule  1: 0000c00000, Class:  0, CF:0.0489336, Len:  1, Fitness_tra: -630
Rule  2: 12141514b7, Class:  0, CF:0.354203, Len: 10, Fitness_tra: -7
Rule  3: 13717142b1, Class:  1, CF:0.808777, Len: 10, Fitness_tra: 0
Rule  4: 241713b711, Class:  1, CF:0.972812, Len: 10, Fitness_tra: 0
Rule  5: 171ba671b7, Class:  1, CF:0.980102, Len: 10, Fitness_tra: 0
Rule  6: 42b2611747, Class:  1, CF:0.937463, Len: 10, Fitness_tra: 0
Rule  7: 1eb2891721, Class:  1, CF:0.896529, Len: 10, Fitness_tra: 14
Rule  8: 43b1517227, Class:  1, CF:0.999412, Len: 10, Fitness_tra: 1
Rule  9: c114111112, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 7771af122b, Class:  1, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 11: b271214bb7, Class:  1, CF:0.89121, Len: 10, Fitness_tra: 0
Rule 12: b7243a1741, Class:  1, CF:0.999273, Len: 10, Fitness_tra: 0
Rule 13: b4411a4477, Class:  1, CF:0.999952, Len: 10, Fitness_tra: 0
Rule 14: b2b11ab7b2, Class:  1, CF:0.999872, Len: 10, Fitness_tra: 0
Rule 15: 74411a7172, Class:  1, CF:0.999781, Len: 10, Fitness_tra: 1
Rule 16: b241952b17, Class:  1, CF:0.924619, Len: 10, Fitness_tra: 0
Rule 17: 1422217112, Class:  1, CF:0.830354, Len: 10, Fitness_tra: 0
Rule 18: 14273a4b42, Class:  1, CF:0.999947, Len: 10, Fitness_tra: 0
Rule 19: 142b21b412, Class:  1, CF:0.911215, Len: 10, Fitness_tra: 0
Rule 20: 127711221b, Class:  1, CF:0.891687, Len: 10, Fitness_tra: 0
Rule 21: 717b1e12bb, Class:  1, CF:0.606865, Len: 10, Fitness_tra: 0
Rule 22: 119b1142b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 4b1ba17222, Class:  1, CF:0.999473, Len: 10, Fitness_tra: 0
Rule 24: 7b746fbb4b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: ba2cc14274, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 714dd57221, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 2427ce1774, Class:  1, CF:0.484044, Len: 10, Fitness_tra: 0
Rule 28: 4b2723bbb2, Class:  1, CF:0.997059, Len: 10, Fitness_tra: 0
Rule 29: 7c741a74b7, Class:  1, CF:0.999739, Len: 10, Fitness_tra: 0
Rule 30: 274751b712, Class:  1, CF:0.901413, Len: 10, Fitness_tra: 0
Rule 31: 2717dfbb42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 7417584224, Class:  1, CF:0.957757, Len: 10, Fitness_tra: 0
Rule 33: 17472544b4, Class:  1, CF:0.886441, Len: 10, Fitness_tra: 0
Rule 34: 112b5142b2, Class:  1, CF:0.910209, Len: 10, Fitness_tra: 0
Rule 35: 2b225a7114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 24224ab214, Class:  1, CF:0.999906, Len: 10, Fitness_tra: 0
Rule 38: 72221e7b2b, Class:  1, CF:0.57064, Len: 10, Fitness_tra: 0
Rule 39: 27441627b4, Class:  1, CF:0.999624, Len: 10, Fitness_tra: 0
Rule 40: 4224dfb474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21b4887224, Class:  1, CF:0.959357, Len: 10, Fitness_tra: 0
Rule 43: 2722ce2722, Class:  1, CF:0.969848, Len: 10, Fitness_tra: 0
Rule 44: 4274537b12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 42b4134747, Class:  1, CF:0.989968, Len: 10, Fitness_tra: 0
Rule 46: 1128317211, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 734b3f1212, Class:  1, CF:0.999921, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 77723a2bb7, Class:  1, CF:0.999773, Len: 10, Fitness_tra: 0
Rule 51: 22245f1127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 42b222b21b, Class:  1, CF:0.908085, Len: 10, Fitness_tra: 0
Rule 53: 72b4217b72, Class:  1, CF:0.911128, Len: 10, Fitness_tra: 0
Rule 54: 1871c12114, Class:  1, CF:0.582758, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 19b55d72b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 24118a7b71, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 247b2c22b7, Class:  1, CF:0.825938, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 23bc13b142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b717df11b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 27272c4712, Class:  1, CF:0.843192, Len: 10, Fitness_tra: 0
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 7a7c184441, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 2174812b47, Class:  1, CF:0.790205, Len: 10, Fitness_tra: 0
Rule 67: 1b47752717, Class:  1, CF:0.498654, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1812c57727, Class:  0, CF:0.17571, Len: 10, Fitness_tra: 0
Rule 70: 7117434244, Class:  1, CF:0.980185, Len: 10, Fitness_tra: 0
Rule 71: 4427e6b4b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 42226f7224, Class:  1, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 74: 42118142b2, Class:  1, CF:0.855576, Len: 10, Fitness_tra: 0
Rule 75: 2c1b13b277, Class:  1, CF:0.979971, Len: 10, Fitness_tra: 0
Rule 76: 71b12374b7, Class:  1, CF:0.979322, Len: 10, Fitness_tra: 0
Rule 77: 27b41e472b, Class:  1, CF:0.938628, Len: 10, Fitness_tra: 0
Rule 78: 454751b127, Class:  1, CF:0.977731, Len: 10, Fitness_tra: 0
Rule 79: 717b137b42, Class:  1, CF:0.996977, Len: 10, Fitness_tra: 0
Rule 80: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 111b11142b, Class:  1, CF:0.420968, Len: 10, Fitness_tra: 0
Rule 82: 17b1ff2774, Class:  1, CF:0.999973, Len: 10, Fitness_tra: 0
Rule 83: 0000b00000, Class:  0, CF:0.496507, Len:  1, Fitness_tra: 2223
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 421b1f4424, Class:  1, CF:0.999655, Len: 10, Fitness_tra: 0
Rule 86: 714719127b, Class:  1, CF:0.724995, Len: 10, Fitness_tra: 2
Rule 87: bb226f4bb4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: 7214362714, Class:  1, CF:0.996039, Len: 10, Fitness_tra: 0
Rule 89: 2c12722b41, Class:  1, CF:0.538135, Len: 10, Fitness_tra: 0
Rule 90: 2214af72b1, Class:  1, CF:0.988653, Len: 10, Fitness_tra: 0
Rule 91: 716b1e7a4b, Class:  0, CF:0.0704985, Len: 10, Fitness_tra: 0
Rule 92: 111511b782, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 44276f7224, Class:  1, CF:0.999987, Len: 10, Fitness_tra: 0
Rule 94: 0704000700, Class:  1, CF:0.294662, Len:  3, Fitness_tra: 1167
Rule 95: c222357217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b717d8d1b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000d300, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 98: b2b26111b7, Class:  1, CF:0.692588, Len: 10, Fitness_tra: 0
Rule 99: 29b5597711, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:21.2573
------Result------
Miss_rate(tra)	:21.2573
Miss_rate(tst)	:9.87203
ARL				:8.375

------Generation 10------
Rule  1: 0000c00000, Class:  0, CF:0.0489336, Len:  1, Fitness_tra: -630
Rule  2: 12141514b7, Class:  0, CF:0.354203, Len: 10, Fitness_tra: -7
Rule  3: 13717142b1, Class:  1, CF:0.808777, Len: 10, Fitness_tra: 0
Rule  4: 241713b711, Class:  1, CF:0.972812, Len: 10, Fitness_tra: 0
Rule  5: 171ba671b7, Class:  1, CF:0.980102, Len: 10, Fitness_tra: 0
Rule  6: 42b2611747, Class:  1, CF:0.937463, Len: 10, Fitness_tra: 0
Rule  7: 1eb2891721, Class:  1, CF:0.896529, Len: 10, Fitness_tra: 14
Rule  8: 43b1517227, Class:  1, CF:0.999412, Len: 10, Fitness_tra: 1
Rule  9: c114111112, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 7771af122b, Class:  1, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 11: b271214bb7, Class:  1, CF:0.89121, Len: 10, Fitness_tra: 0
Rule 12: b7243a1741, Class:  1, CF:0.999273, Len: 10, Fitness_tra: 0
Rule 13: b4411a4477, Class:  1, CF:0.999952, Len: 10, Fitness_tra: 0
Rule 14: b2b11ab7b2, Class:  1, CF:0.999872, Len: 10, Fitness_tra: 0
Rule 15: 74411a7172, Class:  1, CF:0.999781, Len: 10, Fitness_tra: 1
Rule 16: b241952b17, Class:  1, CF:0.924619, Len: 10, Fitness_tra: 0
Rule 17: 1422217112, Class:  1, CF:0.830354, Len: 10, Fitness_tra: 0
Rule 18: 14273a4b42, Class:  1, CF:0.999947, Len: 10, Fitness_tra: 0
Rule 19: 142b21b412, Class:  1, CF:0.911215, Len: 10, Fitness_tra: 0
Rule 20: 127711221b, Class:  1, CF:0.891687, Len: 10, Fitness_tra: 0
Rule 21: 717b1e12bb, Class:  1, CF:0.606865, Len: 10, Fitness_tra: 0
Rule 22: 119b1142b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 4b1ba17222, Class:  1, CF:0.999473, Len: 10, Fitness_tra: 0
Rule 24: 7b746fbb4b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: ba2cc14274, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 714dd57221, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 2427ce1774, Class:  1, CF:0.484044, Len: 10, Fitness_tra: 0
Rule 28: 4b2723bbb2, Class:  1, CF:0.997059, Len: 10, Fitness_tra: 0
Rule 29: 7c741a74b7, Class:  1, CF:0.999739, Len: 10, Fitness_tra: 0
Rule 30: 274751b712, Class:  1, CF:0.901413, Len: 10, Fitness_tra: 0
Rule 31: 2717dfbb42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 7417584224, Class:  1, CF:0.957757, Len: 10, Fitness_tra: 0
Rule 33: 17472544b4, Class:  1, CF:0.886441, Len: 10, Fitness_tra: 0
Rule 34: 112b5142b2, Class:  1, CF:0.910209, Len: 10, Fitness_tra: 0
Rule 35: 2b225a7114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 24224ab214, Class:  1, CF:0.999906, Len: 10, Fitness_tra: 0
Rule 38: 72221e7b2b, Class:  1, CF:0.57064, Len: 10, Fitness_tra: 0
Rule 39: 27441627b4, Class:  1, CF:0.999624, Len: 10, Fitness_tra: 0
Rule 40: 4224dfb474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21b4887224, Class:  1, CF:0.959357, Len: 10, Fitness_tra: 0
Rule 43: 2722ce2722, Class:  1, CF:0.969848, Len: 10, Fitness_tra: 0
Rule 44: 4274537b12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 42b4134747, Class:  1, CF:0.989968, Len: 10, Fitness_tra: 0
Rule 46: 1128317211, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 734b3f1212, Class:  1, CF:0.999921, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 77723a2bb7, Class:  1, CF:0.999773, Len: 10, Fitness_tra: 0
Rule 51: 22245f1127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 42b222b21b, Class:  1, CF:0.908085, Len: 10, Fitness_tra: 0
Rule 53: 72b4217b72, Class:  1, CF:0.911128, Len: 10, Fitness_tra: 0
Rule 54: 1871c12114, Class:  1, CF:0.582758, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 19b55d72b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 24118a7b71, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 247b2c22b7, Class:  1, CF:0.825938, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 23bc13b142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b717df11b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 27272c4712, Class:  1, CF:0.843192, Len: 10, Fitness_tra: 0
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 7a7c184441, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 2174812b47, Class:  1, CF:0.790205, Len: 10, Fitness_tra: 0
Rule 67: 1b47752717, Class:  1, CF:0.498654, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1812c57727, Class:  0, CF:0.17571, Len: 10, Fitness_tra: 0
Rule 70: 7117434244, Class:  1, CF:0.980185, Len: 10, Fitness_tra: 0
Rule 71: 4427e6b4b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 42226f7224, Class:  1, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 74: 42118142b2, Class:  1, CF:0.855576, Len: 10, Fitness_tra: 0
Rule 75: 2c1b13b277, Class:  1, CF:0.979971, Len: 10, Fitness_tra: 0
Rule 76: 71b12374b7, Class:  1, CF:0.979322, Len: 10, Fitness_tra: 0
Rule 77: 27b41e472b, Class:  1, CF:0.938628, Len: 10, Fitness_tra: 0
Rule 78: 454751b127, Class:  1, CF:0.977731, Len: 10, Fitness_tra: 0
Rule 79: 717b137b42, Class:  1, CF:0.996977, Len: 10, Fitness_tra: 0
Rule 80: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 111b11142b, Class:  1, CF:0.420968, Len: 10, Fitness_tra: 0
Rule 82: 17b1ff2774, Class:  1, CF:0.999973, Len: 10, Fitness_tra: 0
Rule 83: 0000b00000, Class:  0, CF:0.496507, Len:  1, Fitness_tra: 2223
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 421b1f4424, Class:  1, CF:0.999655, Len: 10, Fitness_tra: 0
Rule 86: 714719127b, Class:  1, CF:0.724995, Len: 10, Fitness_tra: 2
Rule 87: bb226f4bb4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: 7214362714, Class:  1, CF:0.996039, Len: 10, Fitness_tra: 0
Rule 89: 2c12722b41, Class:  1, CF:0.538135, Len: 10, Fitness_tra: 0
Rule 90: 2214af72b1, Class:  1, CF:0.988653, Len: 10, Fitness_tra: 0
Rule 91: 716b1e7a4b, Class:  0, CF:0.0704985, Len: 10, Fitness_tra: 0
Rule 92: 111511b782, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 44276f7224, Class:  1, CF:0.999987, Len: 10, Fitness_tra: 0
Rule 94: 0704000700, Class:  1, CF:0.294662, Len:  3, Fitness_tra: 1167
Rule 95: c222357217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b717d8d1b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000d300, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 98: b2b26111b7, Class:  1, CF:0.692588, Len: 10, Fitness_tra: 0
Rule 99: 29b5597711, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:21.2573
------Result------
Miss_rate(tra)	:21.2573
Miss_rate(tst)	:9.87203
ARL				:8.375

------Generation 20------
Rule  1: 0000c00000, Class:  0, CF:0.0489336, Len:  1, Fitness_tra: -630
Rule  2: 12141514b7, Class:  0, CF:0.354203, Len: 10, Fitness_tra: -7
Rule  3: 13717142b1, Class:  1, CF:0.808777, Len: 10, Fitness_tra: 0
Rule  4: 241713b711, Class:  1, CF:0.972812, Len: 10, Fitness_tra: 0
Rule  5: 171ba671b7, Class:  1, CF:0.980102, Len: 10, Fitness_tra: 0
Rule  6: 42b2611747, Class:  1, CF:0.937463, Len: 10, Fitness_tra: 0
Rule  7: 1eb2891721, Class:  1, CF:0.896529, Len: 10, Fitness_tra: 14
Rule  8: 43b1517227, Class:  1, CF:0.999412, Len: 10, Fitness_tra: 1
Rule  9: c114111112, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 7771af122b, Class:  1, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 11: b271214bb7, Class:  1, CF:0.89121, Len: 10, Fitness_tra: 0
Rule 12: b7243a1741, Class:  1, CF:0.999273, Len: 10, Fitness_tra: 0
Rule 13: b4411a4477, Class:  1, CF:0.999952, Len: 10, Fitness_tra: 0
Rule 14: b2b11ab7b2, Class:  1, CF:0.999872, Len: 10, Fitness_tra: 0
Rule 15: 74411a7172, Class:  1, CF:0.999781, Len: 10, Fitness_tra: 1
Rule 16: b241952b17, Class:  1, CF:0.924619, Len: 10, Fitness_tra: 0
Rule 17: 1422217112, Class:  1, CF:0.830354, Len: 10, Fitness_tra: 0
Rule 18: 14273a4b42, Class:  1, CF:0.999947, Len: 10, Fitness_tra: 0
Rule 19: 142b21b412, Class:  1, CF:0.911215, Len: 10, Fitness_tra: 0
Rule 20: 127711221b, Class:  1, CF:0.891687, Len: 10, Fitness_tra: 0
Rule 21: 717b1e12bb, Class:  1, CF:0.606865, Len: 10, Fitness_tra: 0
Rule 22: 119b1142b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 4b1ba17222, Class:  1, CF:0.999473, Len: 10, Fitness_tra: 0
Rule 24: 7b746fbb4b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: ba2cc14274, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 714dd57221, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 2427ce1774, Class:  1, CF:0.484044, Len: 10, Fitness_tra: 0
Rule 28: 4b2723bbb2, Class:  1, CF:0.997059, Len: 10, Fitness_tra: 0
Rule 29: 7c741a74b7, Class:  1, CF:0.999739, Len: 10, Fitness_tra: 0
Rule 30: 274751b712, Class:  1, CF:0.901413, Len: 10, Fitness_tra: 0
Rule 31: 2717dfbb42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 7417584224, Class:  1, CF:0.957757, Len: 10, Fitness_tra: 0
Rule 33: 17472544b4, Class:  1, CF:0.886441, Len: 10, Fitness_tra: 0
Rule 34: 112b5142b2, Class:  1, CF:0.910209, Len: 10, Fitness_tra: 0
Rule 35: 2b225a7114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 24224ab214, Class:  1, CF:0.999906, Len: 10, Fitness_tra: 0
Rule 38: 72221e7b2b, Class:  1, CF:0.57064, Len: 10, Fitness_tra: 0
Rule 39: 27441627b4, Class:  1, CF:0.999624, Len: 10, Fitness_tra: 0
Rule 40: 4224dfb474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21b4887224, Class:  1, CF:0.959357, Len: 10, Fitness_tra: 0
Rule 43: 2722ce2722, Class:  1, CF:0.969848, Len: 10, Fitness_tra: 0
Rule 44: 4274537b12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 42b4134747, Class:  1, CF:0.989968, Len: 10, Fitness_tra: 0
Rule 46: 1128317211, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 734b3f1212, Class:  1, CF:0.999921, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 77723a2bb7, Class:  1, CF:0.999773, Len: 10, Fitness_tra: 0
Rule 51: 22245f1127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 42b222b21b, Class:  1, CF:0.908085, Len: 10, Fitness_tra: 0
Rule 53: 72b4217b72, Class:  1, CF:0.911128, Len: 10, Fitness_tra: 0
Rule 54: 1871c12114, Class:  1, CF:0.582758, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 19b55d72b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 24118a7b71, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 247b2c22b7, Class:  1, CF:0.825938, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 23bc13b142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b717df11b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
