------Generation 0------
Rule  1: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 75311d1513943, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 33b8156191588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1831111545225, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 74: 75175f624c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11b6119d13315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 7531811156215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 3db116321119a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a161411ee8459, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 484672d393151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1131115e1e441, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 82: b12e218d11118, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 83: b831415353111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3111c11d33852, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: 11411b311e918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: f16481e948556, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1238c996932de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: bda1a11951211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: 614171159ed15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 3175451939d52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 3518223531581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: b1b958158911e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 43f1132191315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 72b128dc3d3a5, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 95: 6001180701340, Class:  0, CF:0.0064625, Len:  8, Fitness_tra: -2
Rule 96: a000401305110, Class:  0, CF:0.95924, Len:  7, Fitness_tra: -28
Rule 97: 4531142155ec1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 000d09105521d, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 99: 9131111151211, Class:  1, CF:0.71174, Len: 13, Fitness_tra: 191
Rule100: b00080581285c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:48.8889
------Result------
Miss_rate(tra)	:48.8889
Miss_rate(tst)	:28.2828
ARL				:11.5526

------Generation 8------
Rule  1: 0000800000840, Class:  0, CF:0.923832, Len:  3, Fitness_tra: 476
Rule  2: 9131111151211, Class:  1, CF:0.71174, Len: 13, Fitness_tra: 192
Rule  3: 0000403300020, Class:  0, CF:0.999738, Len:  4, Fitness_tra: 54
Rule  4: 11a22a1528113, Class:  1, CF:0.986938, Len: 13, Fitness_tra: 8
Rule  5: 114211151d311, Class:  1, CF:  1, Len: 13, Fitness_tra: 34
Rule  6: 0009800000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 38
Rule  7: b421391451131, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  8: b815111881121, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule  9: 000d0050a000d, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 10: 4531112151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 11: 6111151d21315, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 12: 11624e1311421, Class:  0, CF:0.999976, Len: 13, Fitness_tra: 0
Rule 13: f31818c191551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 1131115e1e441, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 21a21252d5151, Class:  1, CF:0.726009, Len: 13, Fitness_tra: 0
Rule 16: 7131311551281, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 3119223531581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 4441181251512, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1271d21191315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 727628313d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f12d1565991c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6525811181136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a131191355213, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 25: 634585113112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: a5b128ed35118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13b9c5151d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 447a475833e4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1a3191119e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3613d12552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: feb1cc9531145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3e61151315113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b8f91d1d11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: a54d111e19511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 281915111d118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: b5a1518851dd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b13823e111219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1513c2e56d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 33639118915cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 78325321d1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 7173141515119, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: a3411111d315c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111439e3e121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 24b114e165e7c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 21613515595b3, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 614622151e15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f6f5231931c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: af11129289151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 21a6551523581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 52: 41b312d135613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: faf7131121153, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 54: 19ab163121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b1ac155112851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 317511253113c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 74b3241831911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: b7118532e19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 31b5c13d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b233d58583111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1aa9555583159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1873415dee615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b47233e211135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 612511e93d125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: f11d21393151c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 66: 1e154c1565111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1329c15d13541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b13558555911e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 6f618139c1553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 113d2591314c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 71: 75311d1513943, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 33b8156191588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1831111545225, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 74: 75175f624c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11b6119d13315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 7531811156215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 3db116321119a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a161411ee8459, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 484672d393151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 12464c5191155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: f91522a169d14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1511453331518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 33212893a1148, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 85: 18112116d911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 33be5c511d12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b16c139195881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1543829885351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 225c113159218, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 7711129da8911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1e38588613283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0001101013840, Class:  0, CF:0.494335, Len:  7, Fitness_tra: -23
Rule 93: 6525811de2636, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b20028d83d85c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1002411510020, Class:  0, CF:0.215656, Len:  8, Fitness_tra: -225
Rule 96: 6421101955135, Class:  1, CF:0.99969, Len: 12, Fitness_tra: 37
Rule 97: b6f83213581d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 10b9c0100d550, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 4531415151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule100: 541395e16d1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:32.9012
------Result------
Miss_rate(tra)	:32.9012
Miss_rate(tst)	:22.2222
ARL				:11.5833

------Generation 9------
Rule  1: 0000800000840, Class:  0, CF:0.923832, Len:  3, Fitness_tra: 476
Rule  2: 9131111151211, Class:  1, CF:0.71174, Len: 13, Fitness_tra: 192
Rule  3: 0000403300020, Class:  0, CF:0.999738, Len:  4, Fitness_tra: 54
Rule  4: 11a22a1528113, Class:  1, CF:0.986938, Len: 13, Fitness_tra: 8
Rule  5: 114211151d311, Class:  1, CF:  1, Len: 13, Fitness_tra: 34
Rule  6: 0009800000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 38
Rule  7: b421391451131, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  8: b815111881121, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule  9: 000d0050a000d, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 10: 4531112151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 11: 6111151d21315, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 12: 11624e1311421, Class:  0, CF:0.999976, Len: 13, Fitness_tra: 0
Rule 13: f31818c191551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 1131115e1e441, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 21a21252d5151, Class:  1, CF:0.726009, Len: 13, Fitness_tra: 0
Rule 16: 7131311551281, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 3119223531581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 4441181251512, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1271d21191315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 727628313d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f12d1565991c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6525811181136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a131191355213, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 25: 634585113112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: a5b128ed35118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13b9c5151d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 447a475833e4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1a3191119e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3613d12552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: feb1cc9531145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3e61151315113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b8f91d1d11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: a54d111e19511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 281915111d118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: b5a1518851dd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b13823e111219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1513c2e56d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 33639118915cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 78325321d1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 7173141515119, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: a3411111d315c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111439e3e121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 24b114e165e7c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 21613515595b3, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 614622151e15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f6f5231931c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: af11129289151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 21a6551523581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 52: 41b312d135613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: faf7131121153, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 54: 19ab163121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b1ac155112851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 317511253113c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 74b3241831911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: b7118532e19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 31b5c13d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b233d58583111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1aa9555583159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1873415dee615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b47233e211135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 612511e93d125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: f11d21393151c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 66: 1e154c1565111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1329c15d13541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b13558555911e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 6f618139c1553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 113d2591314c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 71: 75311d1513943, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 33b8156191588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1831111545225, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 74: 75175f624c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11b6119d13315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 7531811156215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 3db116321119a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a161411ee8459, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 484672d393151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 12464c5191155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: f91522a169d14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1511453331518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 33212893a1148, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 85: 18112116d911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 33be5c511d12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b16c139195881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1543829885351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 225c113159218, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 7711129da8911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1e38588613283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0001101013840, Class:  0, CF:0.494335, Len:  7, Fitness_tra: -23
Rule 93: 6525811de2636, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b20028d83d85c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1002411510020, Class:  0, CF:0.215656, Len:  8, Fitness_tra: -225
Rule 96: 6421101955135, Class:  1, CF:0.99969, Len: 12, Fitness_tra: 37
Rule 97: b6f83213581d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 10b9c0100d550, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 4531415151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule100: 541395e16d1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:32.9012
------Result------
Miss_rate(tra)	:32.9012
Miss_rate(tst)	:22.2222
ARL				:11.5833

------Generation 10------
Rule  1: 0000800000840, Class:  0, CF:0.923832, Len:  3, Fitness_tra: 191
Rule  2: 9131111151211, Class:  1, CF:0.71174, Len: 13, Fitness_tra: 0
Rule  3: 0000403300020, Class:  0, CF:0.999738, Len:  4, Fitness_tra: 0
Rule  4: 0009800000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule  5: 6421101955135, Class:  1, CF:0.99969, Len: 12, Fitness_tra: 0
Rule  6: 114211151d311, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 11a22a1528113, Class:  1, CF:0.986938, Len: 13, Fitness_tra: 0
Rule  8: b815111881121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 000d0050a000d, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 10: faf7131121153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 4531112151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 6111151d21315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 33212893a1148, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: b421391451131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: a131191355213, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 11624e1311421, Class:  0, CF:0.999976, Len: 13, Fitness_tra: 0
Rule 17: 3119223531581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 4441181251512, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1271d21191315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 727628313d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f12d1565991c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6525811181136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f31818c191551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 634585113112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: a5b128ed35118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13b9c5151d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 447a475833e4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1a3191119e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3613d12552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: feb1cc9531145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3e61151315113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b8f91d1d11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: a54d111e19511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 281915111d118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: b5a1518851dd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b13823e111219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1513c2e56d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 33639118915cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 78325321d1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 7173141515119, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: a3411111d315c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111439e3e121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 24b114e165e7c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 21613515595b3, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 614622151e15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f6f5231931c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: af11129289151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 21a6551523581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 52: 41b312d135613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1131115e1e441, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 19ab163121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b1ac155112851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 317511253113c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 74b3241831911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: b7118532e19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 31b5c13d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b233d58583111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1aa9555583159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1873415dee615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b47233e211135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 612511e93d125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: f11d21393151c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 66: 1e154c1565111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1329c15d13541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b13558555911e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 6f618139c1553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 113d2591314c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 71: 75311d1513943, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 33b8156191588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1831111545225, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 74: 75175f624c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11b6119d13315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 7531811156215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 3db116321119a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a161411ee8459, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 484672d393151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3e381e1e18425, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 6311113339112, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 83: 7226221535371, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 1513b25131611, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: 7111491311713, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 13b3729393951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: ae11c51d658d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
